hyperparameter_setting_id,bits,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,dataset
17,5,0.3269231835323752,0.8075903373572862,0.339229816288659,0.4104362333644972,0.3563387721325411,0.3187473233450543,0.3188850494722525,0.3123097605438846,0.3123830976811322,california
17,6,0.3387132101889812,0.7503656126897443,0.3411584200732636,0.4026192377010981,0.3632982964768554,0.3240238737427827,0.3249438012188131,0.2932711519075162,0.2957481021682421,california
17,7,0.3515399092469703,0.625894156369296,0.3496079221932274,0.3691754714783394,0.4300935218731562,0.3825666505956288,0.382484096243526,0.2939286516471343,0.2942542885853486,california
17,8,0.3074407247882901,0.3985682111797911,0.3108949437737465,0.3331457208277601,0.3641870839126182,0.329337938265367,0.3292360032598178,0.307361879583561,0.3074175096822507,california
18,2,0.3586480817016722,1.4720921895720742,0.7435637825366223,0.7110748995434154,0.5225688792539366,0.4196506500469916,0.4191358995934327,0.4140690373200358,0.4145469878884879,california
18,3,0.3114518107789935,0.9585207954726436,0.5205779493306623,0.5111230526006583,0.4210700767509865,0.3416408830971429,0.3412579307050416,0.4162148381724502,0.4162818633697249,california
18,4,0.3097006075761535,0.8894149741778771,0.3613150178483038,0.4477793472734364,0.3699262194109685,0.3222246759317138,0.3229050902706204,0.3368882925715297,0.3378194010618961,california
18,5,0.3177685491514928,0.7484739729852388,0.3271531101429101,0.4020842573266815,0.3622093724481987,0.306363048878583,0.3068496472004688,0.3222983365483356,0.3245849393759713,california
18,6,0.3046186927593116,0.9104898259269468,0.3056226323048274,0.3956279356145497,0.3835554847663099,0.3280227534247167,0.3281031492533106,0.310572644864971,0.3106264887434063,california
18,7,0.3248395283113826,0.6275995260838306,0.3277496246225906,0.3855461527903874,0.3700190303903637,0.3175459309960856,0.3173106044079318,0.2706065279516307,0.2720855836841193,california
18,8,0.3322041502053087,0.4468123752510909,0.337793242976521,0.373407103893855,0.4121724344564206,0.3217400092857354,0.321725575084036,0.2915895966756524,0.2913753608185233,california
19,2,0.3132193074984984,1.2238898141817611,0.6844746980703238,0.7140241960684458,0.4554897838018157,0.3805925200382868,0.3804962147365917,0.4002055471593683,0.4003783073840719,california
19,3,0.3657627171187689,1.067828301227454,0.6017479617713075,0.5190598192540082,0.5097550722685728,0.416390628807924,0.4182828088488542,0.5017972186659322,0.5047148303552107,california
19,4,0.3370582384593559,1.088212236395162,0.4055432478586833,0.4510990126114903,0.4185641681154569,0.3300615446359822,0.329909484269041,0.3337956829504533,0.333053834510572,california
