hyperparameter_setting_id,bits,FP,Po-MQ,Po-QQ,Pr-MQ,Pr-QQ,Bw-MQ,Bw-QQ,SQ,Bw-SQ,dataset
0,2,0.0434288994292728,0.212764456635341,0.1549728750251233,0.1605350056197494,0.1568279212806373,0.4358804398216307,0.4341502008028328,0.1375459443079307,0.133687513647601,fried
0,3,0.0592410211684182,0.0934482330922037,0.0876653878367506,0.1028834478929638,0.0939703802578151,0.0922616699826903,0.0925065799383446,0.0858743940480053,0.0901937664020806,fried
0,4,0.0446151973155792,0.0519132720073685,0.0516072016325779,0.0522077126079238,0.0535773404408246,0.0567094951402395,0.0566822849214077,0.0506117981567513,0.0520822765538468,fried
0,5,0.051194359693909,0.0533330211183056,0.052654709375929,0.055344295251416,0.0589164133998565,0.0637644189991988,0.0660086692078039,0.0547470137826167,0.0580596068175509,fried
0,6,0.043057683884399,0.0436385502689518,0.0436740460281726,0.043591397581622,0.0432099735480733,0.4382070978172123,0.4406216023489833,0.0462766657292377,0.0570696330396458,fried
0,7,0.0433962937095202,0.0436360884632449,0.0436934917233884,0.0426732195774093,0.0428492162318434,0.4322265298105776,0.4336206871084869,0.0485445623053237,0.0447509797813836,fried
0,8,0.048932803038042,0.048945058370009,0.0489975664531812,0.049380230018869,0.0509095563320443,0.0456432882638182,0.0471318334457464,0.0470327945658937,0.0431262812344357,fried
1,2,0.0505697482731193,0.2432757371570915,0.1619002477964386,0.2066197744570672,0.1961111770942807,0.2368905161274597,0.2237036321312189,0.1527277559507638,0.2028409063350409,fried
1,3,0.0519646187894977,0.0883843489573337,0.0790088317007757,0.0916530637769028,0.08029018266825,0.1016624269541353,0.1002864984329789,0.0754256742657162,0.0947300320258364,fried
1,4,0.0431758712511509,0.0505562033504247,0.0492167904740199,0.0508730670553632,0.05480000883108,0.4368564444594085,0.4348931349813938,0.0565520657692104,0.0540174783673137,fried
1,5,0.0452199538412969,0.0471759370120707,0.0467073620238807,0.0481444159522652,0.0516875796602107,0.0499475200194865,0.0564410288352519,0.0607433983823284,0.0509740393608808,fried
1,6,0.0453210172127001,0.0458651899243705,0.0456815579673275,0.0467627096222713,0.0558797661797143,0.0454718365799635,0.0459131603129208,0.0605774236028082,0.0448464133078232,fried
1,7,0.0433242096041794,0.0435140650952234,0.043605448649032,0.0435840693244244,0.0437676014844328,0.4376151054166257,0.4381048087961972,0.0467516153294127,0.0518689070595428,fried
1,8,0.0429677695210557,0.043010201130528,0.0430613554781302,0.0422490001656115,0.0445583330001682,0.4387568621896207,0.4378919685259461,0.0562800901243463,0.0456813519704155,fried
2,2,0.0423398832790553,0.2199056185781955,0.1555867111310362,0.1631312866229564,0.1578577536856755,0.1600947412662208,0.1556661064969375,0.1407810496166348,0.1362748838728293,fried
2,3,0.045301274745725,0.0764811999397352,0.0749134105280973,0.0784367869491688,0.0779415144352242,0.1016556408721953,0.0992153130355291,0.0763307581655681,0.0909340824000537,fried
2,4,0.0455972638446837,0.0525741630117408,0.0531430845730938,0.0517405648715794,0.0626845950610004,0.0563092156080529,0.0635542975505814,0.0700114950304851,0.0552628908189944,fried
2,5,0.0458630237262696,0.047762322705239,0.0474152695387601,0.0477197120781056,0.0465970144723542,0.0473588596796616,0.0490599892509635,0.0464987070008646,0.0455453962495084,fried
2,6,0.0443030087044462,0.0445719675044529,0.0446946329902857,0.0448759238061029,0.0505291723529808,0.363001836463809,0.3772367471829057,0.0549122738593723,0.0454726014868356,fried
2,7,0.0439203350106254,0.044022585323546,0.0441468437202274,0.0423586099641397,0.0489750366250518,0.4347371407784521,0.4351501083001494,0.0561146810068748,0.0433102063834667,fried
2,8,0.0430931869195774,0.0431490287883207,0.0431932721985504,0.0422958918497897,0.0433766800852026,0.4333108151331544,0.4358689077198505,0.0538111936766654,0.0456386202713474,fried
3,2,0.0434690571855753,0.2258613568264991,0.1554087781114503,0.1631186299491673,0.1564201291184872,0.4359592669643461,0.4347767964936793,0.1354061577003449,0.1337968633743003,fried
3,3,0.0473741809255443,0.0809545442461967,0.0746455397456884,0.085061680234503,0.0811404174892231,0.0909427263541147,0.0892492646817117,0.0704877508687786,0.0706166171003133,fried
3,4,0.0483043963322415,0.0560800448874942,0.0543662732816301,0.0583675814559683,0.0539149117539636,0.0624052096391096,0.0620205425075255,0.0531692042713984,0.0645023505203425,fried
3,5,0.0464361509075388,0.0486282465280965,0.0480814440234098,0.0500386710045859,0.0533329126774333,0.0597375416546128,0.0596202051965519,0.0530997982423286,0.053011251729913,fried
3,6,0.0517048509209416,0.0518352327635511,0.0522750457166694,0.0527637766790576,0.0591117634903639,0.0625854890386108,0.0629317978164181,0.0572217425797134,0.0574337498401291,fried
3,7,0.0461373504949733,0.046358213876374,0.0463747647008858,0.0461582926800474,0.0606464018928818,0.0458955316571518,0.0449607041664421,0.0520120728760957,0.0444718953513074,fried
3,8,0.0437511367781553,0.0438171564019285,0.043755210150266,0.0433718584827147,0.043416151049314,0.4323062165640294,0.4335472974926233,0.0579389123595319,0.0442053310107439,fried
4,2,0.0427127641451079,0.21474413969554,0.1558193212840706,0.1667816677363589,0.1572108035907149,0.4398359302431345,0.4394212858751416,0.13341352972202,0.138515431783162,fried
4,3,0.0466926181979943,0.0803131537395529,0.0738142532063648,0.0831735355313867,0.0809275300707668,0.4456553258933127,0.4407856957986951,0.075614079774823,0.0737290518009103,fried
4,4,0.0419601463072467,0.0494332000962458,0.049084288009908,0.051604469132144,0.0512831753294449,0.4350378275848925,0.4361640992574394,0.0529142302693799,0.0508185107028111,fried
4,5,0.0440869239973835,0.045048576517729,0.0455541283881757,0.0461963815905619,0.0483164627221412,0.4344906769692898,0.4346512043848634,0.0523745185346342,0.0473159273387864,fried
4,6,0.0496752575563732,0.0501079513924196,0.0500422441982664,0.0502842290443368,0.0463864247722085,0.0550118212704546,0.0542542029870674,0.0490816402889322,0.0570899726590141,fried
4,7,0.0421448011475149,0.0422487926844041,0.0423306507000234,0.0424519426887854,0.0439417466404847,0.4312877901829779,0.4331180704757571,0.0458308275556191,0.0447395417722873,fried
4,8,0.0429943242925219,0.0430324411427136,0.0430466294637881,0.0425173419644124,0.0480217391741462,0.4350035730749368,0.4373023137450218,0.0611631091451272,0.0433319438016042,fried
5,2,0.0425151219824329,0.2110768791753798,0.1546810615109279,0.1603480491321534,0.155419627088122,0.4392372416332364,0.4382124594412744,0.1322563394205644,0.1350935486843809,fried
5,3,0.0425689723342657,0.0772845614119432,0.0707181862671859,0.0745572812156751,0.0748670913744717,0.4183861701749265,0.4367226478643715,0.0707621576148085,0.0783344472874887,fried
5,4,0.043141261790879,0.0506839340669103,0.0502531068923417,0.050271050655283,0.0507217729464173,0.4350430322811007,0.4366890746168792,0.0537221231497824,0.0514177450095303,fried
5,5,0.0522442525834776,0.0534688009647652,0.0540735449176281,0.0543371081585064,0.0485802558250725,0.0612432792549952,0.0637158598401583,0.0483612078242003,0.0541403505485504,fried
5,6,0.0435345843434333,0.044346147798933,0.0439051443827338,0.0442772000096738,0.0495159041602164,0.3630487024784088,0.3781498461030423,0.0543747242772951,0.0432415485556703,fried
5,7,0.0440644296177197,0.0441314493655227,0.0439909748092759,0.0433549082663375,0.0452998221153393,0.4386520641855895,0.4323839698918164,0.0503792035742662,0.0465341404778882,fried
5,8,0.0428680014738347,0.0428986975748557,0.0429617703193798,0.0431568524800241,0.0456901835859753,0.3600901493337005,0.3645707264076918,0.0525893743615597,0.0465301299700513,fried
6,2,0.0587374923052266,0.2325229353737086,0.1705780475167557,0.2347562599461525,0.2031575373839587,0.2340395329520106,0.2233675892930477,0.1659387517720461,0.2053624384570866,fried
6,3,0.043585240287939,0.076317686762195,0.071486203931272,0.0746828812407329,0.0733526275726035,0.0735019487910904,0.0745715904631652,0.0696765418397262,0.0689785627764649,fried
6,4,0.0490566215594299,0.0579118541791103,0.056050011771731,0.0596356758615002,0.0560600098106078,0.0705248896847479,0.069620861322619,0.0570381411816924,0.0717507072840817,fried
6,5,0.04435789983836,0.0465884380682837,0.0463463034830056,0.0459943170717451,0.0502914280514232,0.3702501417137682,0.387775472830981,0.0535668571828864,0.0462375893257558,fried
6,6,0.0457308150653261,0.046133755124174,0.0463910971593577,0.0467805348453111,0.0470948456204496,0.4412046442739665,0.4367021583020687,0.0516039304784499,0.0586142639513127,fried
6,7,0.043301593628712,0.0434190917294472,0.0434453801717609,0.0440824096149299,0.0599993045907467,0.0435293259215541,0.0440756197785958,0.0568320068996399,0.0432063908665441,fried
6,8,0.0473339096060954,0.047391683794558,0.0472564281080849,0.0457855900749564,0.0522613018983975,0.0472420032601803,0.0471477208775468,0.0483579128340352,0.0441268819267861,fried
7,2,0.0448051427374593,0.2274049357511103,0.1574472119100392,0.1760576284723356,0.1658062346978113,0.2206985133234411,0.2227940743323415,0.1366922213928774,0.1707806237973272,fried
7,3,0.0425284233060665,0.0767452299478463,0.0702366058249026,0.0737702602637,0.0731791776488535,0.4346294957213104,0.4408858506940305,0.0748255432699807,0.0715458106715232,fried
7,4,0.0442296450200956,0.0516631603240966,0.0518114236183464,0.053767702251207,0.0522892071749083,0.4411322632804513,0.4416926316916942,0.0528399134636856,0.070012585259974,fried
7,5,0.0460570584400557,0.0478052217513322,0.0478383379813749,0.0473219708364922,0.0591690193396061,0.0587842351524159,0.0518261971883475,0.0532209992525167,0.0495174593525007,fried
7,6,0.0441584473592229,0.044855463609565,0.0446251340617891,0.0437093610235024,0.0446314031723886,0.4362142640165984,0.4328487934544682,0.0472094825818203,0.0450119936140254,fried
7,7,0.0560828392044641,0.056206812208984,0.0563445574371144,0.0558071901323273,0.0596976839588023,0.0594946744386106,0.0599475246272049,0.064288014487829,0.0587977399118244,fried
7,8,0.062120588903781,0.0621627250220626,0.0621771158766932,0.0610155253671109,0.0598993947496637,0.0599082870758138,0.0599183117737993,0.0612645652727223,0.061866869800724,fried
8,2,0.0438452635135035,0.2162102083675563,0.1581690468592569,0.1653371002757921,0.1581408805213868,0.4340154179371893,0.4357394985854625,0.1375586461508646,0.1330683646956458,fried
8,3,0.047343509591883,0.081758820626419,0.0765347052947618,0.0841432696906849,0.0789911194588057,0.0968309807358309,0.094245555344969,0.0760860003647394,0.0945004780078306,fried
8,4,0.0609492060029879,0.0690869103418663,0.068120556010399,0.073671837511938,0.072256218874827,0.0709021823131479,0.0685127378092147,0.0699622478568926,0.0747344407136552,fried
8,5,0.0428855453501455,0.0440793350571766,0.0454901888151653,0.0459746228298172,0.0463014788692817,0.4381994819268584,0.4406980788335204,0.047980950854253,0.0622242773533798,fried
8,6,0.0441460286965593,0.0446040270035155,0.0445821560279,0.0464921813982073,0.0552832321845926,0.4360048966482281,0.4402991249226033,0.0510333403071854,0.0451457490562461,fried
8,7,0.0528984126576688,0.052990730095189,0.0529581720475107,0.0524422091257292,0.0483333510928787,0.0540786117780953,0.0548264943063259,0.0497022633499,0.0450745068374089,fried
8,8,0.0507198710110969,0.0507328147941734,0.0508227859681937,0.0513390631822403,0.0459199520119,0.0521510899416171,0.0521958577737677,0.0450327353028114,0.0464594251825474,fried
9,2,0.0464579442050308,0.2161015202291309,0.1589135344838723,0.176284457091242,0.1739066847367212,0.2316582987550646,0.2284780230838805,0.1432720239972695,0.1933713417965918,fried
9,3,0.0513616093085147,0.0858277348452247,0.0779512333683669,0.0904971768613904,0.0821294275810942,0.100326903979294,0.0975703926524147,0.0780037521617487,0.0947916320874355,fried
9,4,0.0458063801052048,0.0533987614326179,0.0517970858782064,0.0539532447583042,0.0538197399582713,0.0659748705220408,0.065669545030687,0.0530583027866669,0.058397275628522,fried
