hyperparameter_setting_id,bits,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,dataset
3,8,0.5156545395200903,0.5218742503361269,0.5187565156004645,0.5239228145642714,0.5224880603226748,0.5510997718030756,0.5513377731496637,0.5967617522586476,0.5966664166613058,wine
4,2,0.5181305029175498,1.7098429203033447,0.786390093239871,0.6566790830005299,0.6002119373191487,0.5867813635956157,0.5867813635956157,0.5585522082718936,0.5585520457137715,wine
4,3,0.5368371362035925,1.0025117722424597,0.5911395739425312,0.5840326710180803,0.5352047275413166,0.5465421188961376,0.5465421839193865,0.5277035879817876,0.5277035879817876,wine
4,4,0.5227882726625963,0.5428671593015845,0.5221768129955638,0.5427675220099363,0.504495691169392,0.5093325105580416,0.5093333910812031,0.5088066946376454,0.5088066865097393,wine
4,5,0.5315486951307817,0.5765134638006036,0.5374832207506354,0.5028465173461221,0.5271806473081763,0.522990576245568,0.522990654815327,0.491594371470538,0.491592832586982,wine
4,6,0.5343041474168951,0.5465018451213837,0.5429186550053683,0.5406243042512373,0.467071304267103,0.5521202927285974,0.5521196858449415,0.4894269908016378,0.4894791855053468,wine
4,7,0.5119061063636433,0.512349852106788,0.5152980007908561,0.5247120911424811,0.492324869741093,0.5359760847958651,0.5359209206971255,0.5749029110778462,0.5749225860292261,wine
4,8,0.5818438096479936,0.5845074084672061,0.5878471650860526,0.6039436811750586,0.5681727040897716,0.6016575260595842,0.6016633835705844,0.5768093304200606,0.5768251581625505,wine
5,2,0.5542235564101826,2.113857952031222,0.7537891322916205,0.6532431867989626,0.5565345991741527,0.5646036998792128,0.5721517611633647,0.6297674829309637,0.6446370699188926,wine
5,3,0.5125424699349836,0.7876946167512373,0.5419327020645142,0.5753743824633685,0.5152379653670571,0.5054891949350183,0.5052454281936992,0.4953673996708609,0.494217956607992,wine
5,4,0.5352090515873649,0.6467249203811992,0.5583393587307497,0.5361977815628052,0.5144592049446973,0.5162983997301622,0.5166968947107141,0.5119227143851194,0.5155844525857405,wine
5,5,0.5335490920326926,0.5604120872237466,0.5440229990265586,0.5064128705046393,0.5545129505070773,0.5377582311630249,0.5376413898034529,0.6055432774803855,0.605549541386691,wine
5,6,0.5306255085901781,0.546003211628307,0.5343961173837836,0.5710479319095612,0.5487041933970018,0.5048975213007494,0.5048992823470723,0.5242366384376179,0.5241144773634997,wine
5,7,0.5221578831022436,0.5043758330020037,0.5123513246124441,0.4846416711807251,0.4933479726314544,0.5295881737362255,0.5295427306131884,0.5647685148499229,0.5646465231071819,wine
5,8,0.5507852082902734,0.546130892905322,0.5339750403707678,0.4963646666570143,0.5521085126833483,0.5073351643302224,0.5073375891555439,0.5428549538959156,0.5428979884494435,wine
6,2,0.5362482802434401,1.649079908024181,0.7383616512471979,0.6543825946070931,0.5664123107086528,0.5939105640758168,0.5924710333347321,0.5690060908144171,0.5688114762306213,wine
6,3,0.5343206958337263,0.9948550137606534,0.605724573135376,0.6050837527621876,0.5250390063632618,0.551292357119647,0.5513397644866597,0.5134104165163907,0.5122862674973228,wine
6,4,0.5556007596579465,0.7394469190727581,0.5816758952357552,0.6212030974301425,0.5486790862950411,0.5561104281382128,0.5561105039986697,0.5331453680992126,0.5331453179771249,wine
6,5,0.5265787596052344,0.5429318384690718,0.5308575928211212,0.4825227856636047,0.5163209980184381,0.5217377516356382,0.5216722163287076,0.4467870471152392,0.4467857805165378,wine
6,6,0.5238111019134521,0.5296459116718986,0.5342768186872656,0.5112151205539703,0.5107594132423401,0.5078885311430151,0.5078760575164448,0.528161846101284,0.5281913849440488,wine
6,7,0.5171011252836748,0.5156217840584841,0.5109216191551902,0.5187188441103155,0.500287955457514,0.5079049657691609,0.5077933940020475,0.5217689221555536,0.521715990521691,wine
6,8,0.5505225685509768,0.5249379737810655,0.5181419713930651,0.5398451794277538,0.5139691802588376,0.555294082923369,0.5560287562283602,0.5336394255811517,0.5336459875106812,wine
