hyperparameter_setting_id,kFold_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_FP,val_loss_Po-MQ,val_loss_Po-QQ,val_loss_Pr-MQ,val_loss_Pr-QQ,val_loss_SQ,val_loss_SQplus,val_loss_Bw-MQ,val_loss_Bw-QQ,val_loss_Bw-SQ,val_loss_LLT9,val_loss_LLT4,val_loss_LSQ,test_loss_FP,test_loss_Po-MQ,test_loss_Po-QQ,test_loss_Pr-MQ,test_loss_Pr-QQ,test_loss_SQ,test_loss_SQplus,test_loss_Bw-MQ,test_loss_Bw-QQ,test_loss_Bw-SQ,test_loss_LLT9,test_loss_LLT4,test_loss_LSQ,train_loss_FP,train_loss_Pr-MQ,train_loss_Pr-QQ,train_loss_SQ,train_loss_SQplus,train_loss_Bw-MQ,train_loss_Bw-QQ,train_loss_Bw-SQ,train_loss_LLT9,train_loss_LLT4,train_loss_LSQ,time_FP,time_Pr-MQ,time_SQ,time_SQplus,time_Bw-MQ,time_Bw-SQ,time_LLT9,time_LLT4,time_LSQ,val_loss_SQ_train,test_loss_SQ_train,val_loss_SQplus_train,test_loss_SQplus_train,val_loss_LLT9_train,test_loss_LLT9_train,val_loss_LLT4_train,test_loss_LLT4_train,val_loss_Bw-SQ_train,test_loss_Bw-SQ_train
0,0,8,0.0,0.0001,10,512,50,0.001,0.3509845679456537,0.6011265109885823,0.3500215058976954,0.3893500539389523,0.3534397239034826,0.3855997540734031,0.3224074962464245,0.3632527467879382,0.425296894528649,0.3302011218937961,,,0.3551516370339827,0.3056835800409317,0.4807755623012781,0.2962694376707077,0.3567124545574188,0.3071380838751792,0.3432793378829956,0.2864652514457703,1.0022669911384583,1.003517246246338,0.3214065968990326,,,0.3316362231969833,0.2990092029494623,0.3179884399137189,0.2889265326722975,0.2509168463368569,0.2526537006901156,0.1306367023817954,0.2321119116198632,0.1632185898000194,,,0.3068498007712825,5.50754314661026,5.713090445846319,6.386246286332607,5.961222842335701,5.836314033716917,5.887273542582989,,,5.959809541702271,0.3244717121124267,0.2899534225463867,0.3228994716297496,0.2876459896564484,,,,,0.3298639248717915,0.3200664043426514
0,1,8,0.0,0.0001,10,512,50,0.001,0.359746741977605,0.5418606752699072,0.358245394446633,0.3639493625272404,0.3462892526930028,0.3615108132362366,0.3197934370149266,0.328053361990235,0.3602686714042317,0.3156462528488852,,,0.343921804969961,0.3246368706226349,0.427553167194128,0.323521625995636,0.2912488490343093,0.2788971215486526,0.2799587398767471,0.2123505204916,0.9991815686225892,1.003730010986328,0.1273629993200302,,,0.2617452532052994,0.2957691728107391,0.3255299983486052,0.2900408890939528,0.2304286817389149,0.2321395532738777,0.1399544958145387,0.2370110413720531,0.1633461499887128,,,0.2952844096768287,5.4534634202718735,5.724448580294848,6.304347809404135,5.962376516312361,5.689788185060024,5.871947344392538,,,5.878267340362072,0.3226947107098319,0.2126241207122802,0.3181001503359187,0.2158662229776382,,,,,0.315300856124271,0.1299936145544052
0,2,8,0.0,0.0001,10,512,50,0.001,0.3379736712033098,0.6405937617475336,0.3418910110538656,0.3446007059379057,0.3194215406071056,0.3428158773617311,0.3073731193488294,0.3418952619487589,0.3446643677624789,0.3203506198796359,,,0.3267048610882325,0.2722158759832382,0.5226934045553208,0.2791613221168518,0.2605456978082657,0.2752374708652496,0.2844690471887589,0.1884923830628395,1.0043302416801452,0.9997340202331544,0.1040627352893352,,,0.263083815574646,0.306147918585808,0.3119703521651606,0.2973546347310466,0.2584641109551153,0.2344828248023986,0.1388104952150775,0.2269392138527285,0.1658048855681573,,,0.3121038800285708,5.947329003363848,5.89929087087512,6.556854702532291,5.955041851848364,5.84032654389739,5.7209301851689816,,,5.86937091499567,0.3008189350366592,0.2174164354801178,0.3061643920161507,0.1891007587313652,,,,,0.3207056630741466,0.1055835261940956
0,3,8,0.0,0.0001,10,512,50,0.001,0.4080904044888236,0.5029366476969286,0.4091014726595445,0.4420151304114948,0.4160347147421403,0.4370807964693416,0.3824467889287255,0.3798594258048318,0.4408186430280859,0.4380302822048014,,,0.4072932357137853,0.2880379378795624,0.408891499042511,0.2929643988609314,0.3068529099225998,0.2971505224704742,0.2887326091527938,0.2470965772867202,1.0058675408363342,1.0016363859176636,0.1633770495653152,,,0.2680528700351715,0.2823311157764927,0.350282431610169,0.2746610670320449,0.2261972956119045,0.2199495723170619,0.1274045386141346,0.2327153634640478,0.1501454381692794,,,0.2813614289606771,5.375414222478867,5.807903464883566,6.4587570540606976,5.968380127102137,5.838999636471272,5.881185173988342,,,5.81626458466053,0.3796596825122833,0.2315083861351013,0.3824460560625249,0.2508149266242981,,,,,0.4379142671823501,0.1668324127793312
1,0,8,0.0001,0.0001,6,4096,50,0.001,0.373516321182251,0.6215831420638345,0.3699283288283782,0.3879279738122766,0.3527991338209672,0.3735623319040645,0.3532355685125697,0.4238586371595209,0.4858932928605513,0.4053499359976161,,,0.3662041127681732,0.3403479933738708,0.5102391228079796,0.3263420552015305,0.3422323852777481,0.30430888235569,0.3420278668403625,0.3400737881660461,0.9993394494056702,0.99878488779068,0.3944667518138885,,,0.3082751870155334,0.2697371225203237,0.2774153769977631,0.2573170661926269,0.2435343472226973,0.2055994714460065,0.0922909782778832,0.1660281217867328,0.0872359254187153,,,0.2573499569008427,25.737644627690315,26.220180463045835,26.479287557303905,26.180120561271902,28.029740873724226,27.93749066069722,,,26.23725158721209,0.3577282889322801,0.3087481796741486,0.3524575639854778,0.3338673532009125,,,,,0.4054884395816109,0.3931121706962585
1,1,8,0.0001,0.0001,6,4096,50,0.001,0.3683334467085925,0.6217546300454573,0.3714020712809129,0.3745649524710395,0.3481388146227056,0.3674603809009898,0.3375492746179754,0.4080576381900094,0.4200835620815104,0.3967173289168965,,,0.3658064576712521,0.2323938846588134,0.4916449129581451,0.2398373365402221,0.2299351036548614,0.2348063558340072,0.2534863322973251,0.1890401914715767,0.999985945224762,1.000610065460205,0.125108578801155,,,0.2494032800197601,0.2689447225101532,0.2699920318780406,0.268741367324706,0.2378576397895813,0.2072004041364116,0.1076596576359964,0.1624330786928053,0.0767685600346134,,,0.2637005640614417,25.74296298250556,26.11370071396232,26.561005242168903,26.17236042395234,28.19081904739141,27.927356511354446,,,26.172013945877552,0.3517281819473613,0.1888702765107154,0.3365126658569682,0.1890310376882553,,,,,0.3956539685075933,0.1284844234585762
1,2,8,0.0001,0.0001,6,4096,50,0.001,0.3468725870956074,0.6130054999481548,0.3499160517345775,0.3398374779657884,0.3238903778520497,0.3450832705606114,0.3276166529818015,0.3422775747339157,0.3942892761393027,0.3467695540325208,,,0.3396401093764739,0.2272073045372963,0.4794011030346155,0.235798367857933,0.2228239491581916,0.2035848692059517,0.2597094863653183,0.1876389950513839,1.0009644627571106,0.9999556541442872,0.0678678930271416,,,0.2199483066797256,0.2719405985647632,0.296917482729881,0.2538275300495086,0.2311443474984938,0.2137514227820981,0.1083545206535247,0.1896442982458299,0.0706097927064664,,,0.2686407272854159,25.95378778502345,26.108510322868824,26.53658950328827,26.100791089236736,28.272469006478783,28.11302189528942,,,26.030102401971817,0.3154951781034469,0.180237391591072,0.3260531269691207,0.1879492729902267,,,,,0.3469621837139129,0.0674380329903215
1,3,8,0.0001,0.0001,6,4096,50,0.001,0.4183382798324931,0.5159157379107042,0.4218297058885747,0.459999989379536,0.3979950465939261,0.4282958968119187,0.3881053247235038,0.4331456829201091,0.456506916067817,0.4556772437962619,,,0.4235312694853002,0.2475073099136352,0.3837141990661621,0.2544897109270095,0.302970689535141,0.2275183737277984,0.2260538071393966,0.1845687299966812,1.0007715821266174,1.0016871690750122,0.067822179198265,,,0.2231646507978439,0.2557905263477756,0.2979224545340384,0.2445659233677772,0.2167299221600255,0.2033782466765373,0.1188413060961231,0.1574917700021497,0.10343832029931,,,0.2490077196590362,26.0341533087194,26.12710776180029,26.40222986415029,26.21959038078785,27.957915361970663,28.268941663205624,,,26.184110514819626,0.418084824627096,0.2154781550168991,0.3872467387806285,0.1847268879413604,,,,,0.4562841274521567,0.0671962320804595
2,0,8,0.0,0.001,10,2048,50,0.0001,0.3759191496805711,0.5781038918278434,0.3728602054444226,0.4030042927373539,0.377577468752861,0.5361172990365461,0.3157630914991552,0.3714272447607734,0.3441489338874817,0.3185713399540294,,,0.373457905921069,0.3613407850265503,0.4589757408946752,0.3416240304708481,0.348722293972969,0.3217623233795166,0.4940166890621185,0.2941013187170028,0.9992387056350708,0.999221646785736,0.2755631953477859,,,0.3330186277627945,0.3109655101453104,0.3030271530151367,0.2864043837593448,0.2659211937458284,0.2388907459474379,0.2177706331975998,0.2477784940311985,0.2236320751328622,,,0.2623659093533793,13.36804185807705,13.736866414546968,14.033470798283815,13.950734075158834,14.650145012885332,14.709357902407646,,,13.592271856963634,0.3243555697527798,0.2958359241485596,0.3155068267475475,0.2938974440097809,,,,,0.3185850314118645,0.2756673902273178
2,1,8,0.0,0.001,10,2048,50,0.0001,0.3491049083796414,0.6249992739070546,0.3517112880945205,0.3860170434821736,0.3474810204722665,0.5136312395334244,0.3243339860981161,0.3970112638040022,0.3431514176455411,0.3366944288665598,,,0.3730620321902362,0.2585633814334869,0.4988329783082008,0.2594432532787323,0.257906487584114,0.2741498827934265,0.4689390182495117,0.2166146904230118,0.9994412541389466,1.001969814300537,0.2590336740016937,,,0.2474047183990478,0.412491645543806,0.3155340417738884,0.281905613599285,0.2233398143322237,0.2204888804304984,0.2348919179170362,0.2885364385381821,0.2632451158377432,,,0.2748757658466216,13.59498567134142,13.778703279793262,14.224416080862284,13.73279032856226,14.737227097153664,14.628133367747068,,,13.752650506794453,0.3308656215667724,0.2394559919834137,0.3240777525034817,0.2160554081201553,,,,,0.3367131745273417,0.2590559989213943
