hyperparameter_setting_id,bits,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,dataset
18,3,,,,,0.02010984442262139,,,,,NewFuelCar
18,4,,,,,0.00996895257073139,,,,,NewFuelCar
18,5,,,,,0.007155789092607881,,,,,NewFuelCar
18,6,,,,,0.005264514731855919,,,,,NewFuelCar
18,7,,,,,0.00796913137412299,,,,,NewFuelCar
18,8,,,,,0.00854225531731024,,,,,NewFuelCar
19,3,,,,,0.02081803603898403,,,,,NewFuelCar
19,4,,,,,0.0090345593152992,,,,,NewFuelCar
19,5,,,,,0.00849563118495172,,,,,NewFuelCar
19,6,,,,,0.00514295714327307,,,,,NewFuelCar
19,7,,,,,0.00613633766943961,,,,,NewFuelCar
19,8,,,,,0.01146883025781753,,,,,NewFuelCar
20,4,,,,,0.01066904102386739,,,,,NewFuelCar
20,5,,,,,0.00577969353425459,,,,,NewFuelCar
20,6,,,,,0.01407187315308597,,,,,NewFuelCar
20,7,,,,,0.0060920245371546,,,,,NewFuelCar
20,8,,,,,0.0067904625704773,,,,,NewFuelCar
21,3,,,,,0.02081428034998995,,,,,NewFuelCar
21,4,,,,,0.00955203410254361,,,,,NewFuelCar
21,5,,,,,0.0080793995986153,,,,,NewFuelCar
21,6,,,,,0.00857829148860707,,,,,NewFuelCar
21,7,,,,,0.00465428588121487,,,,,NewFuelCar
21,8,,,,,0.00904372167026032,,,,,NewFuelCar
22,3,,,,,0.02072885656043098,,,,,NewFuelCar
22,4,,,,,0.0097617910590774,,,,,NewFuelCar
22,5,,,,,0.00632986367206297,,,,,NewFuelCar
22,6,,,,,0.0087081242791834,,,,,NewFuelCar
22,7,,,,,0.00533752106027998,,,,,NewFuelCar
22,8,,,,,0.00913849443548534,,,,,NewFuelCar
23,3,,,,,0.02185195562870873,,,,,NewFuelCar
23,4,,,,,0.01537716053140327,,,,,NewFuelCar
23,5,,,,,0.00690205340751589,,,,,NewFuelCar
23,6,,,,,0.007800592576651851,,,,,NewFuelCar
23,7,,,,,0.0073074074731649,,,,,NewFuelCar
23,8,,,,,0.0075681708139375,,,,,NewFuelCar
24,3,,,,,0.02344855769749793,,,,,NewFuelCar
24,4,,,,,0.011487886738522229,,,,,NewFuelCar
24,5,,,,,0.006301290942498911,,,,,NewFuelCar
24,6,,,,,0.0078752172749342,,,,,NewFuelCar
24,7,,,,,0.00468001751925611,,,,,NewFuelCar
25,3,,,,,0.02302381625856479,,,,,NewFuelCar
25,4,,,,,0.00942172084918665,,,,,NewFuelCar
25,5,,,,,0.01513433856889602,,,,,NewFuelCar
25,6,,,,,0.00531452230132883,,,,,NewFuelCar
25,7,,,,,0.006460510861749399,,,,,NewFuelCar
25,8,,,,,0.0061532253232016295,,,,,NewFuelCar
26,3,,,,,0.02033270702354211,,,,,NewFuelCar
26,4,,,,,0.01022464205355687,,,,,NewFuelCar
26,5,,,,,0.00592134573308974,,,,,NewFuelCar
26,6,,,,,0.00538071964626408,,,,,NewFuelCar
26,7,,,,,0.008195506048331549,,,,,NewFuelCar
26,8,,,,,0.00717073229055748,,,,,NewFuelCar
27,3,,,,,0.02089672275786202,,,,,NewFuelCar
27,4,,,,,0.009890938788374609,,,,,NewFuelCar
27,5,,,,,0.006793912198892809,,,,,NewFuelCar
27,6,,,,,0.01644240122067884,,,,,NewFuelCar
27,7,,,,,0.02129339630237629,,,,,NewFuelCar
27,8,,,,,0.0055024376476035895,,,,,NewFuelCar
28,3,,,,,0.02215559743099696,,,,,NewFuelCar
28,4,,,,,0.01057789382818884,,,,,NewFuelCar
28,5,,,,,0.00770205899872894,,,,,NewFuelCar
28,6,,,,,0.00693490880708972,,,,,NewFuelCar
28,7,,,,,0.00749335371840152,,,,,NewFuelCar
28,8,,,,,0.007609468351297929,,,,,NewFuelCar
29,3,,,,,0.02217465000259767,,,,,NewFuelCar
29,4,,,,,0.00901433149467039,,,,,NewFuelCar
29,5,,,,,0.00648222653411748,,,,,NewFuelCar
29,6,,,,,0.00502831577568456,,,,,NewFuelCar
29,7,,,,,0.00941165323122071,,,,,NewFuelCar
29,8,,,,,0.007387132366114301,,,,,NewFuelCar
30,3,,,,,0.02124739883124432,,,,,NewFuelCar
30,4,,,,,0.0261134739573064,,,,,NewFuelCar
30,5,,,,,0.007656393154205609,,,,,NewFuelCar
30,7,,,,,0.00859091094400925,,,,,NewFuelCar
30,8,,,,,0.02538292956979646,,,,,NewFuelCar
31,3,,,,,0.02561029132635312,,,,,NewFuelCar
31,4,,,,,0.01202819569877818,,,,,NewFuelCar
31,5,,,,,0.00583610088756434,,,,,NewFuelCar
31,6,,,,,0.00626983659652367,,,,,NewFuelCar
31,7,,,,,0.00516692333887408,,,,,NewFuelCar
31,8,,,,,0.00787825675052178,,,,,NewFuelCar
32,3,,,,,0.02068205171003279,,,,,NewFuelCar
32,4,,,,,0.00911564201181914,,,,,NewFuelCar
32,5,,,,,0.00607173577923192,,,,,NewFuelCar
32,6,,,,,0.01356150804071174,,,,,NewFuelCar
32,7,,,,,0.007552186795306071,,,,,NewFuelCar
32,8,,,,,0.0065082784133488805,,,,,NewFuelCar
33,3,,,,,0.02448232235844454,,,,,NewFuelCar
33,4,,,,,0.00956867474637789,,,,,NewFuelCar
33,5,,,,,0.00827900993948176,,,,,NewFuelCar
