hyperparameter_setting_id,bits,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,dataset
2,8,0.35490211493081664,0.5887475921010429,0.3561330198846532,0.38077806307172235,0.4442847109540845,2.237813369037979,2.2377871926309485,0.8939950731667604,0.8939949975320787,california
3,2,0.3582210132873363,1.917492643630866,0.7854937503960999,0.7428201750372395,0.5225828371716268,0.43827535256066097,0.43850383021388994,0.4871074509440046,0.4874679039133657,california
3,3,0.40474966023343073,1.3969125067815185,0.5739449390746427,0.5570260028044383,0.45238057776834023,0.38144475871866396,0.3815525456585667,0.4011005731017301,0.40086855168143903,california
3,4,0.41364126942600266,1.2158364647717188,0.41778657593849033,12.581173990474957,0.4382361764031829,0.4277477158741517,0.42818782845455583,0.3864397841195265,0.38836688832873756,california
3,5,0.34761347077420035,0.974766999379393,0.35911748470230537,0.5018469488840889,0.39361432929607953,0.3545121254738081,0.3545871612756993,0.33147006093552617,0.33154782867482435,california
3,6,0.34735352389627333,0.9821573938186647,0.35225393341741323,0.44014991155938443,0.4160555892369964,0.3735263733475497,0.37356757702249466,0.36792654012343984,0.36793996858636313,california
3,7,0.3490810825799902,0.9502811213602509,0.34956853051641673,0.41818960580064657,0.40240968132786675,0.3467283748598261,0.3469763484444808,0.3302186172681324,0.3304934734083486,california
3,8,0.3661903816811514,0.606465691170006,0.3676230301360853,0.3740645557585539,0.422044559274659,0.37635030585595153,0.3763423905002348,1.0003001498453545,1.0003001498453545,california
4,2,0.3571346599157109,1.4291008355265313,0.6676420893618893,0.7436822954452399,0.48211068695015974,0.4272152621186141,0.4273709054020317,0.42382458271740964,0.424171006487626,california
4,3,0.3552797429432923,0.8407640477303755,0.5231257635338062,0.5548883724167492,0.42659098481138547,0.3613344868532184,0.3635928444507898,0.36093762050326345,0.36516693155422353,california
4,4,0.3615383286593538,0.9156750912919189,0.395414811358646,0.5043975809645472,0.4092491056431423,0.3588191615248268,0.35882285711440176,0.33705771120660233,0.33718840300923947,california
4,5,0.3471140432820627,0.906075592583511,0.35840914510190486,0.44036181837207433,0.4094974672026706,0.36055489061118073,0.3607004579833962,0.40615823233030934,0.40832903514524466,california
4,6,0.34878077070426305,0.919415893088885,0.3506747957629462,0.4364000889500885,0.3987303728294192,0.3600022519741094,0.3605049430759567,0.3239021194760095,0.32471848102992007,california
