hyperparameter_setting_id,bits,FP,Po-MQ,Po-QQ,Pr-MQ,Pr-QQ,Bw-MQ,Bw-QQ,SQ,Bw-SQ,dataset
0,2,0.045782338298158684,0.2354393153567798,0.1591438175644725,0.16837403324898328,0.16386962037067856,0.44816059155855326,0.44917905908077954,0.1428912637173198,0.14071672039572147,fried
0,3,0.061505529028363495,0.09866693749791007,0.09028533723321738,0.10677345133735794,0.10095320942346002,0.09817919731722208,0.09590038211317728,0.09284899536287407,0.09330159832024942,fried
0,4,0.046443732429179305,0.05453999023302455,0.053427440841915044,0.05501780238701025,0.055872473865747396,0.05939638752024616,0.059332720359088785,0.05413608319067857,0.053942517921677736,fried
0,5,0.053926234217942626,0.055859239917481276,0.05565943330002478,0.056827000624616576,0.06041263837250878,0.06789920004084701,0.06843194596585814,0.059822505860938645,0.06151617414434435,fried
0,6,0.04471698397246651,0.04517049346759446,0.045136828511022,0.04572488086705557,0.04814879875921174,0.44922368742991237,0.4501818456919864,0.05003321176627645,0.05928954612172671,fried
0,7,0.04584746877662833,0.04597719851590222,0.04597074818448159,0.045841260650195136,0.048018532816786266,0.44795764442533254,0.44715423421002926,0.053049592030583834,0.04764024678443088,fried
0,8,0.050689199904445516,0.05074080273043361,0.05074587011185935,0.051962365279905456,0.0784542714944109,0.049847151027643075,0.05213175251265051,0.05209206576691936,0.04606334209674963,fried
1,2,0.05320674117538143,0.25968585154041646,0.1646622567204758,0.22227805689908559,0.21076705458108336,0.2417113660019822,0.22939851562259714,0.164607613987755,0.21116284901509058,fried
1,3,0.05313763515732711,0.09175274043227541,0.08186778765521006,0.09549331030575554,0.08506580732064316,0.10660282142926006,0.10321975072147319,0.08016140501713376,0.10156993261189196,fried
1,4,0.04619053807109591,0.05367288605193603,0.05345071757910767,0.05392274634214115,0.06723078293143767,0.4521252660313621,0.4495783348567784,0.06500107590691183,0.8108347416098696,fried
1,5,0.04777436755248342,0.04962835358455773,0.04964349139190741,0.054714556457474785,0.14857175566721703,0.05658290505234613,0.07005747607909138,0.19212095189141104,0.05921675778226922,fried
1,6,0.1476721989398356,0.1480974341393448,0.14791357053327372,0.05141500266327052,0.11529362117289561,0.21247988253016953,0.05217253385344515,0.18703362207743335,0.049029740795958746,fried
1,7,0.04444259736046656,0.04455808060592966,0.04462912824237714,0.04531785565195601,0.04700448477815366,0.45187874732073396,0.4511694251792505,0.04919805911486033,0.053969178302213504,fried
1,8,0.044520394751452794,0.04454529757203995,0.04453562287962992,0.0448603753233328,0.056227037258213354,0.45125415837392213,0.45409297505393625,0.06271182073105588,0.04963522352627474,fried
2,2,0.045217956553096836,0.23032115420792248,0.15864019775763152,0.16834626937052233,0.1611003207159228,0.16527282318565992,0.15884638492716469,0.14687354507623235,0.1405504602589644,fried
2,3,0.04880168648669491,0.08458905584993767,0.07795529585564505,0.0856206475407816,0.08899885609280314,0.1061893876874819,0.10493093615514223,0.08524779735598709,0.0970775998954195,fried
2,4,0.0488394319050712,0.05651481664390297,0.0557704970851773,0.055830431220238064,0.09613101269933391,0.07043618169846008,0.07156800891389135,0.07745440845028492,0.0691989330691285,fried
2,5,0.04726936468214259,0.04916207211499561,0.04916344738448965,0.04976630448072679,0.05174778932705517,0.051378615590510844,0.05263014040829143,0.04978406632144465,0.04841236264037428,fried
2,6,0.04660695749334985,0.04710450433485671,0.04706806150788901,0.04617670064617409,0.053611131815705426,0.37583891868125646,0.38897863768506796,0.05849703862331801,0.047053629354922986,fried
2,7,0.04460626695072274,0.04470525234064547,0.044763519792468245,0.044294115513912345,0.05259212999662847,0.4475926698651165,0.44882435381878166,0.06017576908052428,0.044614427845226554,fried
2,8,0.04450748388189818,0.04453528580779671,0.04453045403934079,0.04565300916729024,0.04737758142000524,0.44948248399887236,0.44731666166335343,0.059448880009585946,0.04987420866673342,fried
3,2,0.045124463783577026,0.23603284943383182,0.15858329432085153,0.16831450525205577,0.16237261618953194,0.44717953628860413,0.451041212119162,0.14065073488745833,0.13936152412788938,fried
3,3,0.050127095170319026,0.08786417978699315,0.07885687845409844,0.08991647353977891,0.0850522728695068,0.09648487473023122,0.09404238491551946,0.07339796065352852,0.07443070193985474,fried
3,4,0.05132193391909819,0.05939706626231778,0.058252786332741335,0.06061386438668702,0.05870661811204623,0.06456075065652836,0.06351991102565074,0.059945108191459394,0.06822801518719637,fried
3,5,0.04871773073973595,0.05066863686661231,0.050553196232067374,0.05205364625726357,0.05582074280828234,0.06333074052236039,0.06255956874811085,0.05683527881628829,0.05598774217069145,fried
