hyperparameter_setting_id,bits,FP,Po-MQ,Po-QQ,Pr-MQ,Pr-QQ,Bw-MQ,Bw-QQ,SQ,Bw-SQ,dataset
0,2,0.02000173598241342,0.18332495884253425,0.893434183844007,0.04347897604680972,0.1639966031393179,0.03684069456962435,0.13817193940854985,0.03707695137709373,0.03567642083821383,cpu_act
0,3,0.01828656963502554,0.060752950193217116,0.8588020352073586,0.025605601423348317,0.04949646898043838,0.02616042733335719,0.03733060130706195,0.02210490278756384,0.02222315513600519,cpu_act
0,4,0.02277196531828774,0.03121459266314135,0.828035765542434,0.02278508960914149,0.04594409107588801,0.021621931215318323,0.02582649715388046,0.09924218821554226,0.13395066296395197,cpu_act
0,5,0.018968604734310678,0.02092022902977003,0.22034610769209947,0.01943365561847499,0.029513597574371508,0.020124887932951578,0.019923450095722252,0.025140340547435518,0.01838888979445277,cpu_act
0,6,0.02004670886895972,0.02047362562555527,0.09286003827762143,0.020321233584903692,0.03765689181880304,0.01975077554010423,0.01966804805426637,0.028549295448912982,0.01919402376963536,cpu_act
0,7,0.020012366821846102,0.02023255059925405,0.04204528909176582,0.019649831456347088,0.03296342225602036,0.02107528001070019,0.02077115787049895,0.02280597329999388,0.0176546223318347,cpu_act
0,8,0.01967082893332606,0.01970537123628529,0.0333878017818698,0.01966869881233338,0.05966211713563931,0.02334866627620957,0.02093878581116974,0.04119318207869159,0.01982082723138419,cpu_act
1,2,0.01762735264089241,0.16954816069740514,0.923482918108885,0.04174459418998311,0.17019966399440395,0.04142294213748891,0.05595118883424075,0.029314747753624693,0.02991141583054106,cpu_act
1,3,0.02106777076394507,0.05642678754834024,0.8590150558604644,0.027993183733465533,0.043003843380854626,0.03244081065058702,0.05516149073552621,0.02942109027017762,0.15716223699542187,cpu_act
1,4,0.019092048296275022,0.0310869142126578,0.833535769338218,0.02359324185750801,0.03802498478012584,0.02015527024005464,0.03196809889318847,0.02946148209560372,0.02146770349488804,cpu_act
1,5,0.02089794540347957,0.022496761503414432,0.21082069256271305,0.02928195375089458,0.06233987345431853,0.02321154040356089,0.05599163042811243,0.03368965347225846,0.020563721140989838,cpu_act
1,6,0.01721816962728128,0.01764813592800722,0.09193926331802052,0.01704732644586604,0.0284722842705937,0.03112486790005973,0.05434752234186113,0.03263980037747663,0.02346056932583446,cpu_act
1,7,0.0179080596336951,0.01797253620595881,0.03934416769502248,0.01815679718811921,0.03178712552270061,0.0192279231662933,0.01941602691434893,0.03004873562604183,0.0174524245712046,cpu_act
1,8,0.017737587204632803,0.01779446225756632,0.03301181528860555,0.02441802973357523,0.0440964619414164,0.017558984659039,0.017230096889229867,0.02863527532093796,0.01893727209132448,cpu_act
2,2,0.01792053615387812,0.15566341361174213,0.9117310327406113,0.04164238946082494,0.19434913246390909,0.0405106024959912,0.05556276823179076,0.02546581613043174,0.02836146377600151,cpu_act
2,3,0.01823782432609447,0.05535891705120981,0.8577149398624897,0.026281181730043367,0.04636643907198533,0.026379763965423242,0.03529479909831509,0.029707195616971938,0.026988497118537208,cpu_act
2,4,0.019036018153509228,0.02582567241042849,0.8202560037374497,0.02232545225952676,0.03663256992227752,0.01925842539192388,0.02302992840369155,0.0266834942194131,0.02042660423052993,cpu_act
2,5,0.02029358629996956,0.0232916894727028,0.2684184166101309,0.02443509332549107,0.03898433475540231,0.01930443168116299,0.02353613435362389,0.03513878850409613,0.02154391947417301,cpu_act
