val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
123.88364683692134,720.9091660229128,312.83874602815996,166.24562334658495,121.52768638952455,116.98219595382463,117.45498651532985,143.03041953471168,143.3351641982349,152.14979536141922,125.24375824430096
96.48096121602984,559.2796325683594,248.45249699834568,173.24309129857306,105.56829184916482,107.19330315091717,108.10449580292203,138.25104596721593,138.56779149752944,150.99416282995423,125.255184686006
118.97008827551088,470.40406822090716,306.3061557598968,188.94913459891703,115.33800631850514,114.19518240174251,116.2356074318957,106.48125936024225,106.6057735272308,159.84356803324684,113.35293362745598
117.13690669501005,511.63270773816464,251.54353924651645,184.37911304075325,129.54631708629097,118.27168922993674,121.73553529426233,111.67349616093422,111.80022003401571,167.22634961711827,114.02922097960514
107.90740212397789,586.163736827338,325.9846273393773,184.67051355162664,109.16352827157547,110.1175142544419,114.34205325681772,102.24663486765392,102.21208310483107,157.64102503079087,109.63206282658363
111.35758943700078,512.6244693585296,365.84045159638816,168.83955144170505,112.50006855067922,112.06733248127041,113.13445367386092,120.45066651301597,120.79107671709203,155.83975988359595,112.15769605494258
109.279875513333,599.2453089472074,320.39362893175723,162.58264370818637,136.53291799061333,111.7053548328912,113.9074180944642,108.95929433338678,108.98000922131894,166.2647608287299,110.43173513839494
115.54942213599361,484.43117898969507,320.6627397679571,154.22086066630348,114.24974065752171,101.95112752202732,104.21319340947849,103.77102074694278,103.95871575198956,187.97862869945925,109.51127912037408
170.82690782689338,553.7835208266529,370.35712467022796,167.13632122438347,132.42590092900974,119.86726219974346,123.12190047306801,124.08498109276616,124.51071605397694,151.42498688199626,113.4397464296711
102.59814242462613,453.56872854659804,291.53170468913976,171.02573497259795,138.10203227712148,113.67957664603618,114.78627045474835,112.42126886168522,112.84003323227611,151.77945003224843,115.93264041729827
101.87120534412897,502.0746050023321,273.62135986783613,155.36210359032475,104.34276933812383,98.93371508014737,99.6798587628265,102.97346382710471,103.15460728887302,156.70029745528947,100.40029725032066
130.38549827461813,442.31309144888354,287.76035388547984,153.32305543814132,101.78515078416511,103.28828213819817,105.44541293471607,98.82581101602582,98.84032468653437,149.97887335250627,106.81305950791088
103.89174857068417,564.6647908224988,325.11858789244695,163.67240404726854,112.67130376331842,109.2655595238529,113.00947149476009,113.55400558016193,113.62547774813068,147.18859009244548,111.10689032255713
105.36163580595557,599.901287705151,341.4638245995365,190.59898467562093,109.30983028127186,102.00829838994724,104.49959239675037,99.92307981804235,100.2459033567514,146.78564959853443,104.8046028934308
105.20731276896463,417.15802457439366,274.98993944765914,165.1069538628877,108.90731014422516,112.16997989255991,112.00436298882784,107.26389677133133,107.29944553659924,187.45542326969885,117.27522249364141
111.562979740883,554.945074052953,265.97686084348766,197.3499470611117,124.3469532639233,104.78648114560255,107.06821686474245,110.46105194091797,110.48803716631078,156.52656082608806,108.09584130813826
114.1829634139787,569.3484296656367,308.54088968305444,165.82289692892957,121.44488041436495,115.62276435965923,116.72155807267374,118.98792340862217,119.22926302098516,146.0824463118368,112.71881257242231
117.78423764812412,772.6752264677589,327.7804688410973,196.64277808345966,122.97108157713022,119.67125400144663,120.38334302759883,111.74520435617931,111.47655339027519,154.03610007442646,115.1138561305715
109.5823828853778,492.5885893408932,342.6317480286555,162.1700373976978,115.64829208601766,113.69031928902241,117.36671214317208,109.640907458405,109.66133684186794,155.21037019188725,116.62357597920432
104.9764712888803,510.1570341195633,328.21338938243355,159.0078270755597,107.03568250741532,105.43743822467862,108.0395264696719,109.69229157291241,109.98940772440896,151.88850158008177,117.50273308825138
