bits,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
2,0.08958938631873864,0.36253397648151103,0.20816343965438697,0.1949938631974734,0.12637659758329392,0.1122982556430193,0.11268280268861697,0.103469284509237,0.10475152387068822
3,0.08960430977436212,0.22472189206343432,0.13115731002046513,0.14475787431001663,0.11821608612170587,0.09687659522661796,0.0970054372571982,0.09151198978607471,0.09195525760834034
4,0.08528494066916979,0.29343292094193973,0.10857421876146243,0.1299320917863112,0.10508140508945171,0.09734179970736687,0.0976712867617607,0.0830448053490657,0.0839549380999345
5,0.0909300327874147,0.22917443743118873,0.09450099416650258,0.1141544443483536,0.10378347623806733,0.08911891063818565,0.0894309088587761,0.08431489857343527,0.08480654376057478
6,0.09489473345187995,0.2656770144517605,0.09184638611399211,0.11785971631224339,0.10555980371741149,0.09157339772925926,0.09146688738121436,0.08095507489947172,0.08132990398086035
7,0.09043904124544216,0.15653113659757834,0.09329780403238076,0.09755134467895214,0.10368423731281207,0.09181095421887361,0.09179708206882843,0.08505128249526024,0.08533629577320356
8,0.0872529706129661,0.10990752210983863,0.09070169031620026,0.10459270001604007,0.10792762023898271,0.09291259041772439,0.09292259551584721,0.08282715517740984,0.0830650806427002
