weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
0.0001,0.0001,6,2048,50,0.0001,98.42751107287052,99.49474767428724,107.64229891193447,116.77449069806,108.0909046343903,113.58267576303057,113.59802086673564,98.57968794409908,98.54234547401542,168.97113720338737,183.14668695250555
0.0001,0.0001,6,8192,70,0.001,99.97681039838648,100.69474581818082,105.53329353901876,108.72408864035536,107.10944639746822,102.76420769762638,103.34116312283189,104.04618863917108,104.51930991215492,162.6185045384649,171.2591830580982
0.0001,0.0001,6,2048,70,0.001,101.40652027414806,102.35217188365424,125.63322608150654,107.50367025119156,107.34101264156511,99.41347150660272,100.28299513859535,108.7387578024793,108.78828458643672,160.5067250266004,169.22161443909602
0.0001,0.0001,8,8192,70,0.001,102.1438199512994,102.8545227620139,103.3587120397767,104.72638622682486,104.47837362716449,120.11310577392578,118.96131680616692,102.37002836768306,102.43037004613164,184.38247475695255,169.60056498513293
0.0,0.0001,5,4096,70,0.0001,102.4875748477765,104.50077170756326,130.1121328553157,107.30234567442936,99.58128413869372,103.18450927734376,103.20385434734288,110.18625344803084,110.1799654035426,119.64393291188709,112.17987185805592
0.0001,0.0001,8,1024,70,0.001,105.5148113877026,106.86481265167691,123.0420802671518,113.28674379035608,109.7902871886296,109.1505100762666,109.42467555715076,109.39904631429644,110.74824933863398,223.35189773787314,169.00322233740962
0.0,0.001,8,256,70,0.0001,106.12078009078752,106.91157378011675,120.4680976298318,119.25270188744388,150.91989602615584,130.55360725744447,130.57621981492684,105.38892819988192,105.43926307336608,136.63674317544965,106.11027885550884
0.0001,0.0001,8,8192,70,0.0001,106.37749014327775,107.40397757914528,119.80993692198795,107.52505646890668,103.01116971827264,102.46908085381808,102.5151487321996,100.21179307396731,100.2532690247493,165.50156624637432,174.7915688130393
0.0001,0.001,6,256,70,0.001,107.7659703155062,108.95549227586432,122.4713492322324,112.8671457660732,135.98348110825268,113.6052423164026,113.92239123671804,107.1411590576172,107.14913689912257,187.14875679585472,184.46067901155843
0.0001,0.0001,10,2048,50,0.001,107.82600254799004,108.95042089206068,132.271755958671,108.53096207576012,111.32911909872028,107.33474059603108,107.19349795668872,100.44877482172268,100.8749107816326,183.72479942663392,155.78417820716973
0.0001,0.0001,10,8192,50,0.0001,108.68405646708474,109.11516855723822,129.53972807926917,106.20389608126968,108.50587702509182,109.4771039023328,109.5069571537758,142.22360269347234,142.2913083887812,150.73031741469654,187.3671646118164
0.0001,0.0001,6,2048,50,0.0001,108.94223751238924,109.69048030340848,135.29583535265567,113.54515952494609,103.71082681684352,99.24036156953272,99.2451475342708,103.92221160433184,103.91518635536308,155.39139044462746,153.94905505963226
0.0,0.0001,8,8192,50,0.001,108.94243154952775,110.3714035945152,127.19818229105935,110.97201953717132,111.09047858394794,122.0895704582556,120.88544549514998,107.300196918089,107.2347174687172,115.48724615751807,108.54702667691815
0.0,0.0001,6,1024,50,0.001,109.2426932035987,109.9307126856562,122.0553284830122,107.69824759639911,117.82595523435678,111.22374474824365,111.45114539986226,100.73449103511982,100.45238506260203,119.02835811785798,111.06153419836244
0.0001,0.001,10,512,70,0.001,109.76474090120684,110.2451703085828,114.85635353202252,122.1264508375481,122.68673358746427,131.8044261647694,132.16208181808244,107.29929448597468,107.41559703314482,217.9771825306451,200.99795976325646
0.0,0.0001,6,512,70,0.0001,109.8090754836353,110.36231163366516,126.73119730024196,115.20137189039544,106.47474693184468,106.10909276933812,106.11290991484228,101.42220818818504,101.37948095976417,115.26405044100177,113.40935169049163
0.0,0.001,8,512,50,0.0001,110.35197482891935,110.78750365527708,121.37124252319336,120.46678554477975,139.86869965738325,115.26419870177313,115.28601877013249,105.3365015627733,105.35484997194204,121.85888979328213,161.92036802377274
0.0001,0.001,8,256,50,0.0001,112.95437388633614,114.2976537106642,128.14624626956768,115.95433038740016,130.96032407390538,112.6806686742982,112.68216614225018,115.76865654561055,115.75405997660624,199.47303806134124,186.78821404300518
0.0,0.0001,10,4096,50,0.001,113.84090110437194,114.96281467266935,132.66689978072893,112.66764501315444,122.8427385358668,105.2623399762965,106.76775348720264,103.56841921450489,103.48062834099156,137.13237927564933,106.65622807972467
0.0001,0.001,10,4096,70,0.001,113.92273996837103,116.02048942224305,122.92447884403056,121.99659911198404,141.39150055842617,128.015696454404,128.21782877907825,108.23043236803652,108.3898199850054,194.92271184209568,199.88445760242973
0.0,0.0001,5,4096,50,0.001,114.31886428149778,115.40606108708168,129.5699937165673,111.69713803191684,99.79403436006004,98.21393602285812,97.86725223598197,107.06141104627012,107.07314004471051,147.51813421676408,105.962893471789
0.0001,0.0001,6,1024,50,0.0001,114.5000840372114,115.72188989440006,135.13660681425637,106.6499620693833,107.34895313319876,109.00023076071668,109.05664187758715,105.74422432059671,105.7239953226118,164.25991593545942,157.85732360384358
