weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
0.0001,0.0001,6,64,70,0.0001,1.1269415309652686,1.1282135848887265,1.1306882547214627,1.1342630251310766,1.7784005431458354,1.953540451824665,1.953538523055613,1.099852330982685,1.0998409744352102
0.0001,0.0001,6,4096,30,0.001,1.139608109369874,1.141104232519865,1.1419132268056273,1.1984880552627146,2.0893265902996063,1.6543958755210042,1.6553485547192395,1.51455690106377,1.5167914950288832
0.0,0.0001,10,128,50,0.0001,1.1477152151055634,1.1487993118353188,1.1507102749310434,1.1562805594876409,2.2985068056732416,1.6504927570931613,1.650492754764855,1.1455850126221776,1.1455850177444518
0.0,0.0001,5,128,50,0.001,1.1490271906368434,1.1510010696947575,1.1498043262399733,1.1468987185508013,2.0717633739113808,1.6350499279797077,1.6363574136048555,1.1444232915528119,1.146281881723553
0.0,0.0001,10,64,70,0.0001,1.1560340663418174,1.1569703463464975,1.1577475303784013,1.1167499697767198,1.7808922454714775,1.5311729051172733,1.531172901391983,1.1392499157227576,1.1392499189823866
0.0,0.0001,5,128,30,0.001,1.1634918903000653,1.164469238370657,1.1702512740157545,1.1640233201906085,2.122900916263461,1.6703263651579618,1.670132846571505,1.1139696794562042,1.1140488269738853
0.0,0.0001,5,128,30,0.0001,1.1641937047243118,1.1646136278286576,1.170009032357484,1.2004225295968354,2.1532099014148116,1.9691978003829718,1.9691978124901652,1.073708854150027,1.073708867188543
0.0,0.0001,6,8192,30,0.0001,1.1658396194688976,1.167000275105238,1.1732459194026887,1.2140190685167909,2.506627100519836,1.7642206279560924,1.7642203764989972,1.3662537070922554,1.366253628861159
0.0,0.0001,6,128,70,0.001,1.1685053706169128,1.1691347993910313,1.1687590931542218,1.157519465778023,1.7863544030115008,1.5143362805247307,1.5165365878492594,1.1243820949457586,1.1269972287118435
0.0,0.001,5,128,50,0.001,1.175922375638038,1.1764507754705846,1.1769479340873659,1.2131978264078498,2.1222911793738604,1.1556714037433267,1.1579178282991052,1.1269678119570017,1.1279295575805008
0.0,0.0001,5,8192,30,0.0001,1.1798123186454177,1.1797392722219229,1.1921717757359147,1.1981976116076112,2.1471544010564685,2.3346955217421055,2.3346955478191376,2.3373160092160106,2.337316006422043
0.0001,0.0001,10,256,50,0.001,1.1825024201534688,1.18451405223459,1.1841914989054203,1.1719157532788813,2.25979458168149,1.5762557219713926,1.5766630107536912,1.1229101363569498,1.125012990552932
0.0001,0.001,8,8192,70,0.001,1.1825576615519822,1.1829563742503524,1.1886620656587183,1.2093183505348861,2.1602008184418082,4.64256976544857,4.642396468669176,1.2247523884288967,1.226222172845155
0.0001,0.0001,8,4096,30,0.001,1.1840865821577609,1.184974869247526,1.1868525757454336,1.3535717092454433,2.219560967758298,1.7082800450734794,1.7095865523442626,1.343080913182348,1.3454558071680367
0.0,0.001,10,8192,70,0.001,1.1884268200956285,1.188806529622525,1.1927805310115218,1.237511876039207,3.584808185696602,25.72580288350582,25.704843282699585,1.1158341709524393,1.118165547028184
0.0,0.001,10,256,30,0.0001,1.1900944942608476,1.1915525859221816,1.1883300212211907,1.4057706780731678,2.1645019920542836,1.3807646087370813,1.3807646185159683,1.1123231197707355,1.1123233302496374
0.0001,0.001,8,8192,50,0.0001,1.198615720961243,1.199752920307219,1.2019560993649065,1.1379302497953176,2.1890353178605437,2.2714499989524484,2.271656082943082,1.3051664624363184,1.3051258837804198
0.0,0.001,6,8192,50,0.001,1.2036538976244628,1.2053723796270788,1.2062633484601974,1.3087445539422333,2.955265676602721,2.3467646474018693,2.3484028773382306,3.426402263343334,3.425448052585125
0.0001,0.001,5,64,70,0.0001,1.2041574879549444,1.2044314765371382,1.214688476640731,1.1595696466974914,1.4887661864049733,1.100489869248122,1.1005273503251374,1.102677775081247,1.102751787751913
0.0,0.0001,5,256,70,0.0001,1.2049178183078766,1.2066824245266616,1.2054221024736762,1.2035548724234104,2.314230401068926,1.7219922738149762,1.721992270089686,1.2157408595085144,1.2157408585771918
0.0001,0.0001,5,8192,30,0.0001,1.206806587986648,1.2085431311279535,1.2063312348909676,1.1926401522941887,2.2102203583344817,1.8262707209214568,1.8262660503387451,1.4155493373982608,1.4155494486913085
