weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,hyperparameter_setting_id,kFold_id,Full precision,Post minmaxQ,Post quantileQ,Pre minmaxQ,Pre quantileQ,SoftQ,HardQ,Bitwise softQ,Bitwise hardQ,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp,Train full precision,Train pre minmaxQ,Train pre quantileQ,Train SoftQ,Train Bitwise softQ,train_loss_hard_bitwise_minmax_mlp,train_loss_hard_bitwise_quantile_mlp,bits,dataset,Full precision_avg,Post minmaxQ_avg,Post quantileQ_avg,Pre minmaxQ_avg,Pre quantileQ_avg,SoftQ_avg,HardQ_avg,Bitwise softQ_avg,Bitwise hardQ_avg,Full precision_min,Post minmaxQ_min,Post quantileQ_min,Pre minmaxQ_min,Pre quantileQ_min,SoftQ_min,HardQ_min,Bitwise softQ_min,Bitwise hardQ_min,Full precision_avg_by_hyperparam,Post minmaxQ_avg_by_hyperparam,Post quantileQ_avg_by_hyperparam,Pre minmaxQ_avg_by_hyperparam,Pre quantileQ_avg_by_hyperparam,SoftQ_avg_by_hyperparam,HardQ_avg_by_hyperparam,Bitwise softQ_avg_by_hyperparam,Bitwise hardQ_avg_by_hyperparam,Full precision_min_by_hyperparam,Post minmaxQ_min_by_hyperparam,Post quantileQ_min_by_hyperparam,Pre minmaxQ_min_by_hyperparam,Pre quantileQ_min_by_hyperparam,SoftQ_min_by_hyperparam,HardQ_min_by_hyperparam,Bitwise softQ_min_by_hyperparam,Bitwise hardQ_min_by_hyperparam
0.0001,0.001,5,128,70,0.001,7,5,,,,,0.0102798426094906,,,,,,,,,0.0055318103651242,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.006348143389097201,,,,,,,,,0.0042216456393106,,,,
0.0001,0.001,5,128,70,0.001,7,6,,,,,0.0053201244486365,,,,,,,,,0.0049787228362059,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.006348143389097201,,,,,,,,,0.0042216456393106,,,,
0.0001,0.001,5,128,70,0.001,7,7,,,,,0.0074098647588439,,,,,,,,,0.0050635461472933,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.006348143389097201,,,,,,,,,0.0042216456393106,,,,
0.0001,0.001,5,128,70,0.001,7,8,,,,,0.0057581361370945,,,,,,,,,0.005014454557186,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.006348143389097201,,,,,,,,,0.0042216456393106,,,,
0.0001,0.001,5,128,70,0.001,7,9,,,,,0.0046180819218422,,,,,,,,,0.004871928164571,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.006348143389097201,,,,,,,,,0.0042216456393106,,,,
0.0001,0.0001,8,64,50,0.0001,8,0,,,,,0.0060227947583291,,,,,,,,,0.0052853211552799,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.0001,8,64,50,0.0001,8,1,,,,,0.0059221568333573,,,,,,,,,0.0059884238394671,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.0001,8,64,50,0.0001,8,2,,,,,0.0058951067182709,,,,,,,,,0.0056146062748488,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.0001,8,64,50,0.0001,8,3,,,,,0.0061032472366238,,,,,,,,,0.0054970762082923,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.0001,8,64,50,0.0001,8,4,,,,,0.0068542035745881,,,,,,,,,0.0054281878084236,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.0001,8,64,50,0.0001,8,5,,,,,0.0059737069879478,,,,,,,,,0.005716292913227,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.0001,8,64,50,0.0001,8,6,,,,,0.006091655252436,,,,,,,,,0.0057085602293156,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.0001,8,64,50,0.0001,8,7,,,,,0.0070363512393413,,,,,,,,,0.0055829951685725,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
0.0001,0.0001,8,64,50,0.0001,8,8,,,,,0.006376658080211,,,,,,,,,0.0059568615972667,,,,,5,NewFuelCar,,,,,0.059507633986078966,,,,,,,,,0.0040959006628805,,,,,,,,,0.00628313942661243,,,,,,,,,0.0058951067182709,,,,
