weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0,0.001,6,1024,50,0.001,,,,,,,,,,117.76719514647526
0.0,0.001,6,512,50,0.001,,,,,,,,,,117.21657249109069
0.0001,0.0001,8,1024,70,0.001,,,,,,,,,,177.2628062233996
0.0001,0.0001,6,2048,30,0.0001,,,,,,,,,,214.3003320836309
0.0001,0.0001,8,128,30,0.0001,,,,,,,,,,203.047278617745
0.0,0.001,5,256,50,0.001,,,,,,,,,,134.29586871702278
0.0,0.0001,5,8192,70,0.0001,,,,,,,,,,119.13454118415491
0.0001,0.001,10,8192,30,0.001,,,,,,,,,,213.27883125419046
0.0001,0.0001,8,64,70,0.0001,,,,,,,,,,228.25303809322529
0.0001,0.001,8,4096,70,0.0001,,,,,,,,,,200.03470725443825
0.0,0.0001,5,128,70,0.0001,,,,,,,,,,127.50076977174673
0.0,0.001,10,2048,70,0.0001,,,,,,,,,,144.0370613212016
0.0,0.001,6,256,70,0.0001,,,,,,,,,,118.48994884206287
0.0001,0.001,5,128,50,0.001,,,,,,,,,,216.3705305981992
0.0001,0.0001,10,512,50,0.001,,,,,,,,,,208.6631966206565
0.0,0.001,10,2048,50,0.0001,,,,,,,,,,128.96901224620308
0.0,0.001,8,256,70,0.0001,,,,,,,,,,124.5833829054192
0.0001,0.0001,8,2048,50,0.001,,,,,,,,,,181.05080778207352
0.0,0.001,10,256,30,0.001,,,,,,,,,,150.47705055350687
0.0001,0.001,10,128,50,0.001,,,,,,,,,,246.90880015358997
0.0001,0.001,8,8192,50,0.001,,,,,,,,,,213.4546140983923
0.0001,0.001,10,4096,70,0.0001,,,,,,,,,,193.5508862395785
0.0001,0.001,10,8192,50,0.0001,,,,,,,,,,265.7956412016456
0.0,0.0001,10,512,30,0.0001,,,,,,,,,,126.76889237361168
0.0001,0.0001,6,64,70,0.0001,,,,,,,,,,210.19853130739128
0.0001,0.0001,5,2048,30,0.001,,,,,,,,,,208.3524893006282
0.0001,0.0001,6,128,30,0.001,,,,,,,,,,201.93675829759286
0.0,0.0001,8,512,50,0.0001,,,,,,,,,,138.00777719981636
0.0,0.0001,5,64,50,0.001,,,,,,,,,,146.06393592037372
0.0001,0.0001,5,256,50,0.0001,,,,,,,,,,169.5385353316122
0.0001,0.001,10,128,30,0.0001,,,,,,,,,,216.12542610737816
0.0,0.001,6,2048,30,0.0001,,,,,,,,,,133.53581878320495
0.0,0.0001,5,4096,30,0.001,,,,,,,,,,121.12348237678187
0.0,0.0001,6,1024,70,0.001,,,,,,,,,,122.54810333251953
0.0,0.001,8,1024,70,0.001,,,,,,,,,,117.84398172862494
0.0,0.001,10,512,50,0.001,,,,,,,,,,122.47707452347029
0.0,0.001,10,1024,70,0.0001,,,,,,,,,,129.51992051992843
0.0001,0.0001,8,128,70,0.001,,,,,,,,,,196.74549660753848
0.0001,0.001,8,4096,30,0.001,,,,,,,,,,222.29519049801044
0.0,0.0001,10,512,70,0.001,,,,,,,,,,128.99561389524544
0.0001,0.0001,5,1024,70,0.001,,,,,,,,,,226.08596391820197
0.0001,0.0001,5,2048,30,0.001,,,,,,,,,,171.5512958355804
0.0001,0.001,8,512,30,0.0001,,,,,,,,,,208.24643513693738
0.0,0.001,8,8192,70,0.0001,,,,,,,,,,120.90964268926365
0.0001,0.0001,6,256,70,0.001,,,,,,,,,,178.97933327973777
0.0,0.001,6,2048,30,0.0001,,,,,,,,,,149.4119521753112
0.0,0.0001,8,256,50,0.0001,,,,,,,,,,129.43300822243762
0.0001,0.0001,8,8192,30,0.001,,,,,,,,,,179.11810262879328
0.0001,0.001,8,1024,70,0.0001,,,,,,,,,,200.9951309659588
0.0,0.001,8,1024,70,0.001,,,,,,,,,,125.81546643954604
0.0001,0.0001,10,1024,30,0.0001,,,,,,,,,,259.29018675391353
0.0001,0.0001,6,4096,70,0.001,,,,,,,,,,186.54540423492887
0.0,0.001,6,4096,50,0.0001,,,,,,,,,,131.95175632078255
0.0,0.0001,6,512,50,0.001,,,,,,,,,,124.9288513126658
0.0,0.0001,6,1024,30,0.001,,,,,,,,,,135.36351235233136
0.0,0.0001,10,1024,70,0.0001,,,,,,,,,,125.50115517004213
0.0001,0.001,5,4096,70,0.001,,,,,,,,,,192.97486945764342
0.0001,0.001,8,128,50,0.001,,,,,,,,,,274.33539011941025
0.0,0.0001,5,128,50,0.0001,,,,,,,,,,140.61010064651717
0.0001,0.0001,6,256,70,0.0001,,,,,,,,,,204.36649891867566
0.0,0.0001,5,1024,30,0.0001,,,,,,,,,,143.64342094535257
0.0001,0.001,10,2048,70,0.001,,,,,,,,,,214.29043647424498
0.0,0.0001,6,2048,50,0.0001,,,,,,,,,,114.4234281796128
0.0,0.0001,8,256,50,0.001,,,,,,,,,,137.26175268372492
0.0,0.0001,8,64,70,0.0001,,,,,,,,,,149.21856894421933
0.0001,0.001,6,8192,70,0.001,,,,,,,,,,227.01398536340514
0.0,0.001,10,64,30,0.001,,,,,,,,,,148.2599471932027
0.0001,0.0001,5,128,70,0.001,,,,,,,,,,199.16331527482217
0.0001,0.0001,5,4096,50,0.0001,,,,,,,,,,189.1380895358413
0.0001,0.001,8,64,70,0.001,,,,,,,,,,210.33007835274313
0.0001,0.001,8,1024,50,0.0001,,,,,,,,,,198.76527154267723
0.0,0.001,10,2048,50,0.001,,,,,,,,,,129.85771293070778
0.0001,0.001,8,2048,70,0.0001,,,,,,,,,,201.86315018383425
0.0001,0.001,10,8192,50,0.001,,,,,,,,,,193.57009056432923
0.0001,0.001,5,8192,30,0.0001,,,,,,,,,,275.0926748247289
0.0001,0.001,6,1024,70,0.001,,,,,,,,,,185.78791535790288
0.0001,0.001,10,2048,70,0.001,,,,,,,,,,202.4637568459582
0.0001,0.0001,6,1024,50,0.0001,,,,,,,,,,167.64600064861241
0.0,0.0001,6,4096,70,0.0001,,,,,,,,,,117.30305310149691
0.0,0.001,5,1024,30,0.001,,,,,,,,,,135.41154349028176
0.0,0.0001,5,128,50,0.0001,,,,,,,,,,143.68653214867436
0.0,0.0001,6,64,70,0.001,,,,,,,,,,136.13890161087264
0.0,0.001,10,256,30,0.001,,,,,,,,,,143.90735700237218
0.0,0.001,6,2048,30,0.001,,,,,,,,,,143.4426020721891
0.0001,0.0001,6,128,70,0.0001,,,,,,,,,,206.39120210106694
0.0001,0.0001,5,2048,30,0.0001,,,,,,,,,,184.1867670087672
0.0001,0.001,10,8192,30,0.0001,,,,,,,,,,207.6067335214188
0.0001,0.0001,10,256,50,0.0001,,,,,,,,,,194.449460556258
0.0,0.0001,8,4096,50,0.001,,,,,,,,,,132.60042680199467
0.0,0.001,6,1024,50,0.0001,,,,,,,,,,127.89120437849813
0.0,0.0001,10,512,70,0.0001,,,,,,,,,,117.66338089330873
0.0,0.0001,10,4096,50,0.001,,,,,,,,,,118.06525574869184
0.0,0.0001,8,64,70,0.0001,,,,,,,,,,178.58068312459918
0.0,0.001,5,512,70,0.0001,,,,,,,,,,120.19893472586105
0.0,0.001,6,512,70,0.001,,,,,,,,,,121.49994417446763
0.0,0.001,10,8192,50,0.0001,,,,,,,,,,142.93399725387346
0.0001,0.0001,8,4096,70,0.001,,,,,,,,,,177.83628036726768
0.0,0.001,10,8192,50,0.001,,,,,,,,,,138.72421350052107
0.0,0.0001,8,256,30,0.001,,,,,,,,,,136.48548769595018
0.0,0.001,8,64,50,0.0001,,,,,,,,,,132.08141702680444
