val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
1.189828655216843,1.1991679184138775,1.2267364906147122,1.1063626101240516,1.3729436108842492,1.1144731468521059,1.1145814657211304,1.179520498495549,1.183097172062844,1.2919775759801269,1.2406635852530599
1.2074717241339386,1.245678332168609,1.2136145438998938,1.3164427005685866,1.3246796014718711,1.1739321420900524,1.1739339623600245,1.1309078251942992,1.1337138749659061,1.3965863808989525,1.238244793843478
1.1934459558688104,1.1646733274683356,1.1715225921943784,1.3911037216894329,1.6799115939065814,1.2575437184423208,1.2574245347641408,1.1432972741313279,1.1465787766501307,1.1969440844841301,1.3815401159226894
1.1576980371028185,1.2774312002584338,1.1879974845796824,1.1533264867030084,1.725062757730484,1.2109858342446387,1.2110172538086772,1.0879343943670392,1.09022695152089,1.220625305082649,1.0945741040632129
1.1177979670464993,1.1519539509899914,1.4609471820294857,1.1069969949312508,1.5267080813646317,1.1294896509498358,1.129454091656953,1.0846816711127758,1.0871499455533922,1.0446052835322917,1.115282635204494
1.1448299144394696,1.1436051474884152,1.3352383677847683,1.154015514999628,1.2504825396463275,1.1453490741550922,1.1453557084314525,1.0776572786271572,1.0806719800457358,1.0447684172540903,1.052569608669728
1.1441808110103011,1.174791398923844,1.1693971892818809,1.6182966474443674,1.470201208256185,1.1850612726993859,1.1851013000123203,1.2168564144521952,1.2203413965180516,1.1791771142743528,1.2296179221011698
1.154137374367565,1.1979239452630281,1.17271839780733,1.1149546271190047,1.3647408857941628,1.1762044220231473,1.176308246795088,1.0943718100897968,1.096900895703584,1.0719651198014617,1.341017957776785
1.1914425743743777,1.1947165876626968,1.209363871254027,1.3501820815727115,1.5010948469862342,1.886674389243126,1.886670651845634,1.1028890311717987,1.1046441923826933,1.099401285406202,1.1154525578022003
1.1637817928567529,1.1995691107586026,1.2410351266153157,1.1090208138339221,1.6102935681119561,1.2844418319873512,1.2845623674802482,1.1165600693784654,1.1197109073400497,1.1236372645944357,1.1092299637384713
1.1584248412400484,1.1710502575151622,1.180825734976679,1.2259510490112007,1.3163861716166139,1.6916818162426353,1.6916782427579165,1.0685944925062358,1.0708570745773613,1.1301867100410163,1.1503302743658423
1.122025934047997,1.1957858265377581,1.1405720938928425,1.4359299601055682,1.1878575598821044,1.2219673437066376,1.2220177054405212,1.0826147561892867,1.0853279335424304,1.058107162360102,1.2192160221748054
1.1999164591543376,1.2209618450142443,1.2099632867611945,1.181042137555778,1.3297904818318784,1.2122037429362535,1.2122164336033165,1.112112675793469,1.1145380274392664,1.093478889670223,1.2727252412587404
1.2193553959950805,1.17131835129112,1.3349762191064656,1.132407161872834,1.7796678468585014,1.7087056655436754,1.7086726315319538,1.0936531340703368,1.095142150297761,1.1156774344854057,1.1898769629187882
1.1410663994029164,1.1734699471853673,1.1774007235653698,1.128646899946034,1.4996531680226326,1.1925864685326815,1.1925706509500742,1.0930703831836581,1.0968619929626584,1.1190924583934247,1.143105202820152
1.1776346564292908,1.5431667543016374,1.1779090478084981,1.1430880837142467,1.6154956333339214,1.1384115042164922,1.138413188047707,1.0754589247517288,1.0769699476659298,1.0816608336754143,1.0846241102553904
1.226249884814024,1.1868349933065474,1.1395946582779288,1.1214397121220827,1.6031289109960198,1.1892430055886507,1.1892667887732387,1.087134267669171,1.088267617393285,1.1297185667790473,1.070797951426357
1.2038089083507657,1.2497203284874558,1.283062739763409,1.1588433906435966,1.3554390566423535,1.2268575560301542,1.2268707612529397,1.1525581823661923,1.154777423478663,1.1053024474531412,1.3481031935662031
1.24006925849244,1.2383138057775795,1.4104318949393928,1.2397757302969694,1.5748038105666637,1.70513363648206,1.7051217816770077,1.0977547951042652,1.1004623696208,1.098063473124057,1.1154073080979288
1.129947009962052,1.1431087525561452,1.168590486049652,1.0996959246695042,1.4348234883509576,1.095442024525255,1.0954926274716854,1.043715086299926,1.0472607938572764,1.0627187895588577,1.3803146509453654
