weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0001,0.0001,5,256,70,0.001,,,,,,,,,,0.5469679548626855
0.0,0.0001,8,128,30,0.001,,,,,,,,,,0.5090232718558538
0.0001,0.001,6,8192,70,0.001,,,,,,,,,,0.5981534038271222
0.0,0.001,5,512,50,0.001,,,,,,,,,,0.5831413254851386
0.0001,0.001,8,128,70,0.001,,,,,,,,,,0.6579895388512385
0.0001,0.001,6,1024,70,0.0001,,,,,,,,,,0.7984928942862011
0.0,0.0001,10,64,30,0.001,,,,,,,,,,0.5297765902110508
0.0,0.001,8,128,30,0.001,,,,,,,,,,0.4858545774505252
0.0,0.0001,10,4096,70,0.001,,,,,,,,,,0.47128232036318096
0.0001,0.0001,6,1024,50,0.001,,,,,,,,,,0.5994683603445689
0.0,0.0001,10,512,30,0.001,,,,,,,,,,0.546616846606845
0.0,0.0001,5,1024,50,0.001,,,,,,,,,,0.4964021699769156
0.0001,0.0001,5,4096,70,0.0001,,,,,,,,,,0.5987592396282014
0.0,0.0001,6,128,70,0.001,,,,,,,,,,0.4849641280514853
0.0,0.0001,10,128,50,0.001,,,,,,,,,,0.508841872215271
0.0001,0.0001,5,512,30,0.001,,,,,,,,,,0.5192397889636812
0.0,0.001,10,2048,50,0.0001,,,,,,,,,,0.8265625295184907
0.0,0.001,10,2048,30,0.001,,,,,,,,,,0.5293108310018267
0.0,0.001,8,256,70,0.001,,,,,,,,,,0.6028394514606112
0.0001,0.001,6,256,30,0.0001,,,,,,,,,,0.5678402426696959
0.0,0.001,5,512,50,0.0001,,,,,,,,,,0.5962515728814262
0.0001,0.0001,5,128,30,0.0001,,,,,,,,,,0.4895525517917815
0.0,0.001,8,64,30,0.001,,,,,,,,,,0.4848291121778034
0.0,0.001,5,4096,50,0.0001,,,,,,,,,,0.5637180578140986
0.0,0.001,6,128,70,0.001,,,,,,,,,,0.5518205520652589
0.0001,0.0001,6,256,50,0.001,,,,,,,,,,0.4765832111949012
0.0001,0.001,10,512,70,0.001,,,,,,,,,,0.5868778157801855
0.0001,0.001,8,64,30,0.001,,,,,,,,,,0.5656433204809824
0.0001,0.001,6,64,30,0.0001,,,,,,,,,,0.5948717210974012
0.0001,0.001,8,64,30,0.001,,,,,,,,,,0.5663480389685858
0.0001,0.0001,6,128,30,0.001,,,,,,,,,,0.4950620446886335
