weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0,0.0001,10,512,50,0.0001,,,,,,,,,,0.10164252937986301
0.0,0.0001,6,512,50,0.001,,,,,,,,,,0.10166433040912334
0.0001,0.001,10,128,70,0.0001,,,,,,,,,,0.16659705936908722
0.0,0.0001,6,64,70,0.001,,,,,,,,,,0.0879409670829773
0.0001,0.001,8,1024,70,0.0001,,,,,,,,,,0.1667979082235923
0.0,0.001,8,2048,50,0.001,,,,,,,,,,0.08610033026108375
0.0001,0.0001,5,128,30,0.001,,,,,,,,,,0.10371690237751374
0.0,0.0001,6,256,30,0.001,,,,,,,,,,0.08796659822647389
0.0001,0.001,5,256,30,0.001,,,,,,,,,,0.16115764574362682
0.0001,0.0001,5,128,30,0.0001,,,,,,,,,,0.10093644238435305
0.0,0.001,5,512,50,0.001,,,,,,,,,,0.09421931424966225
0.0001,0.001,10,512,70,0.0001,,,,,,,,,,0.16927612618758128
0.0001,0.0001,5,4096,50,0.0001,,,,,,,,,,0.1128445848249472
0.0,0.001,5,512,70,0.0001,,,,,,,,,,0.09716640567550293
0.0001,0.0001,8,1024,50,0.0001,,,,,,,,,,0.11115430284004946
0.0,0.0001,8,1024,70,0.0001,,,,,,,,,,0.10531051319379073
0.0001,0.001,10,512,30,0.001,,,,,,,,,,0.160815931054262
0.0,0.001,5,512,70,0.0001,,,,,,,,,,0.10324340594502596
0.0,0.001,6,4096,50,0.001,,,,,,,,,,0.08800936897213642
0.0,0.001,10,64,50,0.001,,,,,,,,,,0.08827585342984934
0.0001,0.0001,8,2048,70,0.001,,,,,,,,,,0.11976268864594973
