val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
112.23017684025551,116.84022800957979,116.23572397943752,107.04858352888876,115.22457976839435,104.25091040312354,104.25306473917036,157.6707674852058,157.66195314321945,117.66465491679178,116.96553005389313
104.24868558058098,118.12805272572076,124.17739651808098,107.10284127762068,97.9351703586863,104.94418824608647,104.95145672470775,99.32954463674061,99.37933235737815,170.65384696846579,105.26939386396266
122.99982657361386,117.11374425176365,117.35545924172473,116.5463306939424,110.18024114352554,109.58173672120962,109.58464232487465,102.82808605592642,102.85095038342831,119.4250765558499,125.09281790434424
108.09912991879591,127.45266569906207,117.47592339586856,107.5416991390399,102.31715877020537,103.73354658439978,103.80669340446813,95.96162408857204,95.98558249402402,103.23741030337206,94.37555250480993
120.87041405065736,121.79021954892286,119.08053634415812,110.6856792506887,110.65841828531293,107.58089845571945,107.61584990771848,115.66686282940765,115.67295393303259,129.14980931068536,113.05280030663334
115.53867442572295,109.74162412045607,110.46796360300549,103.02097280701595,123.55529517558084,93.10861934832673,93.10340830105454,97.16764723364986,97.1835977639725,119.44354908501924,124.24144887212498
104.270324251545,106.73881616165389,109.16120164785812,111.44205076303055,112.24969698777839,93.72468936977101,93.74808587600936,98.66487127275609,98.75691786808754,99.8057046577112,91.71652067953082
102.19968482629577,101.8490730399516,113.0674165184818,101.88804916837323,95.40761941938258,97.64744249030726,97.70232061129897,98.68907965475054,98.60397546682785,109.57468089772694,92.32462658099274
139.0037101631734,111.41449970985526,123.0895410224573,107.39229549578766,129.439164973017,106.89187417101505,106.92875853581215,101.20964323584712,101.22776714723501,116.04729228233224,115.53820738151892
104.94230483894917,135.76112320174033,125.12274540004445,108.50153868945677,120.44103696453037,99.93436403416875,99.9359565279377,112.42253528424163,112.476949037011,134.79384117695824,98.00101539270202
134.43018050691975,111.89669207672574,121.99059455074482,109.32114723547181,103.72173016106905,104.126012289702,104.15899715138904,104.59152514898955,104.65496402000313,112.96443358464028,105.2734057298347
116.56467056274414,114.72049240567792,117.96475020451332,117.59804996091928,115.0195838586608,105.35031540714093,105.37764870942529,120.84407094699233,120.83907153001472,113.25882060492216,109.10437316325174
103.29670624234784,109.06637328418333,122.07677061166336,111.9300854811028,111.51766369947747,107.64992090481431,107.71479068585296,106.52654240736321,106.51687010010677,115.1656957028517,100.82943569012542
112.66869883750802,119.84848221736168,137.78298061997143,114.5014745797684,112.95844468074058,112.54782958528888,112.68317157119068,110.88023775015304,110.90182147808929,130.02720158135713,104.59605282456127
110.97075909287182,119.81427167066887,124.58210116713795,109.0304881423267,112.9325637248025,105.72660821943141,105.73794037548464,101.33432792549702,101.40507535792109,113.63558959960938,111.39834754146747
105.26487737627171,105.01513324566741,149.37839644702512,100.20168196265377,96.19636045996822,95.21450634856723,95.2136930778845,96.51892499781367,96.58597593165156,100.63556790707716,97.94077255476766
104.03872635115438,111.79122617351474,135.26680687292298,111.08370601597117,109.01882057759299,100.89059419774297,100.93666190531717,105.9827200476803,106.00190871509153,115.08594085921102,108.3335575274567
103.35893164108049,127.10956943568898,138.50376345506356,98.56628528993521,102.89752866261041,107.50169873593458,107.55612649490584,96.18926364272389,96.32755586994229,116.89268357006472,98.47779370777643
129.5622964545862,122.34049298870029,150.87547347794717,118.55141306635159,116.39743833399531,128.4823649392199,128.4816796601708,120.46398100212438,120.4870394237006,127.49160550245598,108.66995017208271
134.2354601959684,133.55368019217875,133.91812965051452,122.97248834638454,117.95062250165797,122.71607026057457,122.7924844542546,120.78484196449394,120.86840438842773,124.97469455092701,110.7469030921139
