bits,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
2,1.1202402389608324,5.775856267660856,4.212511375546455,4.302487131208181,4.1060995906591415,4.359318647533655,4.385426802560687,3.4375947639346123,3.4656584076583385
3,1.1355296140536666,2.1232417207211256,1.9043045435100794,2.062781747430563,1.9421882713213563,1.8625055318698287,1.8805540259927511,1.7662727143615484,1.785623537376523
4,1.1329213441349566,1.3332919524982572,1.3188931969925761,1.3661321238614619,1.5207948167808354,1.4079997488297522,1.4177950583398342,1.2609455725178123,1.2706872667185962
5,1.2305933916941285,1.1905148662626743,1.2201655628159642,1.32761858869344,1.4351862985640764,1.3204242368228734,1.3274080995470285,1.1653150971978903,1.1709146704524755
6,1.388140965718776,1.1762379095889628,1.3211554517038167,1.1580468746833503,1.8340425742790103,1.142602086532861,1.144921728875488,1.1475654328241944,1.1499795410782099
7,1.1500154822133482,1.1527309282682836,1.2140956511721015,1.162438123486936,2.889807151630521,1.6812831861898303,1.6837170533835888,1.1196844028308988,1.1212278502061963
8,1.1509084152057767,1.1733674970455468,1.188174321781844,1.1459970441646874,2.429144493304193,1.2968471609055996,1.2979149408638477,1.1444728337228298,1.1458750856108963
