val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
114.89101113846053,169.20360257732335,153.92912713805242,120.59298518166614,109.24891030610497,109.49299581726986,109.89401364682325,114.53707623837599,114.54198054413297
118.87356376647949,176.8813279564701,173.02608347650784,122.43614253713123,119.34979458709262,127.46162682148947,128.61626109792226,108.01210676734127,108.06106365260793
113.65056900479901,166.47375237763816,155.47366378556436,122.0373843748178,108.4984099544696,117.03844887463015,117.20065131116269,122.52394787233267,122.60708231000758
112.78896499747661,166.63405313064803,143.09747018387068,117.48909047824233,122.5987748672713,118.00146666569496,118.5109737737855,107.39389894969428,107.36647492024436
109.60784029604784,166.0125520620773,139.11367740915782,122.36731315726665,116.09048968642506,114.1966092408593,114.51071209694022,107.35766077753323,107.35704143011748
114.99716920995,183.1560372879256,150.4444174695371,127.35055519217876,109.58935814473166,111.44549087979901,112.56409875670475,109.11348522243215,109.00732604069496
134.25518855763906,169.96642713404412,145.41919765187734,119.9419251057639,106.01648256671963,116.36521971403663,116.77689600702541,123.78026996441741,123.90721261323388
115.29270542201711,170.87614366901454,182.77287326641937,114.50646841703956,121.36219383353618,108.95963253192048,109.0093736790899,107.24956626322732,107.39854989122989
120.53948399557996,167.7033903207352,163.70828554523524,118.02027335095761,115.00330193363018,115.51396515120321,115.94763454038706,108.86296081542969,108.83863147337046
121.31115671414048,175.61520203547693,148.6138549349201,128.64610347463125,114.22546751107743,112.52902648698038,113.54224837004249,114.16070254880991,114.24946070429104
123.11325346533931,178.02076846450123,168.37830125040082,128.47327519886528,132.60150806939424,112.74280713209465,114.42444960750751,113.03933562093707,113.03894057202695
112.62752339377332,167.86146454312907,156.8906949740737,123.42417418067134,121.7408710308929,111.15581398579612,111.91215953542225,111.35931225677035,111.42863897067397
122.95901637290841,174.35179297603779,143.67414787634095,118.86007064136106,123.80813410744739,120.71749863695743,122.28011954008643,109.71242711081433,109.85684853169455
155.28693993411846,164.59142280692484,142.86543871751473,140.44125838777913,113.50301298454626,114.99481918562704,114.9384305583897,115.51832489469159,115.54552613443403
115.64428893131996,167.34577332681684,172.47674093673479,121.40646168723035,113.15249166915666,114.26381791527592,114.92414354922167,112.75634617591972,112.8208842491036
111.10869325096928,171.68766454440444,157.69989406528757,116.64507959849799,107.74920870652839,115.83885477549994,114.17519247709815,109.39309188501159,109.38305447706536
116.13970007825253,169.0141821334611,202.39052729820136,142.4271980399516,109.7840304588204,107.16858098044324,107.48031251821945,115.76620967352568,115.8313651867767
128.42058474981962,171.77453886572994,149.75627605950655,123.14049381996269,112.73647319736766,116.60486702420819,116.9680241542076,111.06045708727481,111.04852078565911
112.88431867912634,165.070812168406,149.48002499253002,121.02767312348779,113.82985590465033,109.58078264834276,110.46588072136267,108.6188178560627,108.69847124014328
