weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0,0.001,10,2048,70,0.001,,,,,,,,,,110.47083299551437
0.0001,0.001,10,64,50,0.0001,,,,,,,,,,199.89734103074716
0.0001,0.0001,5,4096,30,0.001,,,,,,,,,,163.01467542505975
0.0,0.0001,8,64,50,0.001,,,,,,,,,,136.06471645298288
0.0001,0.001,6,64,50,0.0001,,,,,,,,,,200.46355449619577
0.0,0.001,10,4096,50,0.0001,,,,,,,,,,119.65595660992523
0.0001,0.0001,10,8192,30,0.001,,,,,,,,,,154.45709274064248
0.0001,0.001,6,1024,70,0.001,,,,,,,,,,191.4030409855629
0.0001,0.001,10,1024,70,0.001,,,,,,,,,,197.17516622970354
0.0001,0.0001,8,8192,30,0.0001,,,,,,,,,,144.83774202261398
0.0,0.0001,10,512,70,0.0001,,,,,,,,,,128.41009065998134
0.0001,0.0001,10,4096,70,0.0001,,,,,,,,,,159.54869853916452
0.0001,0.0001,8,256,70,0.0001,,,,,,,,,,191.561630362895
0.0,0.001,6,1024,30,0.0001,,,,,,,,,,119.6219145362057
0.0001,0.001,6,128,70,0.0001,,,,,,,,,,185.73704312452628
0.0001,0.001,10,256,30,0.001,,,,,,,,,,204.78759241815823
0.0001,0.001,5,64,30,0.001,,,,,,,,,,207.29085142221024
0.0001,0.001,6,64,50,0.001,,,,,,,,,,201.19255646662927
0.0001,0.001,6,1024,30,0.001,,,,,,,,,,198.71177183692134
