bits,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp
2,105.57278356979143,901.5259062354245,356.9658508300781,157.63245016069556,114.14453358436698,118.7314470205734,120.20764940176437,117.17036341197455,117.38750412215047
3,105.42678764684877,329.9105007114695,242.7585706568476,134.42140841128221,109.10595697431422,105.28677880586083,106.74669647216797,114.14867332800111,114.30787892128104
4,129.5216990228909,175.1121165716826,143.09952266180693,117.9545043831441,102.85963815717555,103.50927284582338,103.76482397051,109.82361198539165,109.77607430984725
5,110.78032820972044,141.6905331967482,126.55832410214552,117.74874103603078,105.8787704581645,106.15387179246589,106.9805121920002,108.79415153389546,108.9150542074175
6,104.78192167139765,124.27695761153947,134.66186574679702,110.47408920971316,103.59872083521601,111.61299605867755,111.46568201549017,101.48072723844159,101.51812140621357
7,109.81723136332498,107.61788507717759,120.67202491190896,108.044247186006,112.24483023116838,105.5595966168304,104.7457418299433,104.21568884778378,104.24941760390553
8,111.20343837453358,106.7797717194059,119.43858730259227,111.90533840122508,110.26849331072907,108.65854553678143,110.47196835190502,120.10380275213896,120.10107900135553
