weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
0.0001,0.0001,10,2048,70,0.001,113.01638930591184,117.43628538900349,129.93973763309307,137.79381726393058,115.0076361414212,122.19174763693738,122.2809809784391,112.82832808992757,112.87181427229696,155.04536540472685,168.31139214359112
0.0001,0.0001,6,8192,70,0.0001,116.5325599214924,120.714459547356,141.3040136081069,112.92762799049493,129.16373483458565,102.9562959244002,103.0673751261697,105.98077768354274,105.99791005832046,161.03777768718663,174.33154945942894
0.0001,0.0001,5,4096,70,0.001,116.72480765385414,123.34667871959174,134.73454700299163,125.31548702183056,113.80290347426686,116.9994591100892,117.0217127728818,115.5262567890224,115.7111458849551,154.90372193749272,188.18538130575152
0.0,0.0001,6,1024,70,0.001,117.41395631477016,126.79744498409444,133.90749404679482,114.49468675300255,136.76726144819116,115.25964446565996,115.17500231159268,116.81258927530315,116.85035010949888,125.8327245000583,106.79795945580327
0.0001,0.0001,10,4096,70,0.0001,117.7941952036388,125.267729061753,120.06543264816057,114.4643980567135,112.71728322043349,114.53969146956258,114.58042372518511,109.5817630824758,109.64679866050606,156.18048983901295,168.58474606186596
0.0,0.0001,5,8192,70,0.0001,117.83189056168742,126.3241092624949,145.5768539656454,118.54731847279108,116.56427298019182,106.3509177876942,106.35613301974624,106.34060344411364,106.33341006378627,111.33918699577673,111.98904922826966
0.0001,0.0001,8,1024,70,0.001,119.61668674981416,130.22952902494973,120.83239979530448,119.10295853685976,122.69825340384868,118.49249725911154,118.22466446036724,118.75814267058873,118.88595666458356,174.46727217489214,177.9277352859725
0.0001,0.0001,6,4096,70,0.0001,120.03603010035272,128.9573300489739,146.06906685900333,115.5259872550395,111.487279578821,109.38860713901803,109.4161248278262,105.5811295580508,105.64266859595456,147.283464346359,168.68663275419777
0.0001,0.0001,6,1024,50,0.001,120.79787379592211,127.63857852878856,135.9457461229011,127.32907047556408,125.85180612820298,111.07340983490444,111.17636854257157,131.00401989381706,130.76051677874665,155.75785554344975,179.06368506132668
0.0001,0.0001,5,2048,70,0.0001,120.96305010212002,128.1840085271579,162.339437797888,122.06999496915448,120.64228866349406,114.9579472043621,114.97472122533998,107.47039846164076,107.51680630356518,149.7568081528393,164.31123511470966
0.0001,0.0001,8,1024,50,0.0001,121.86071136816224,128.10183812611135,165.28570260574568,155.68244518450837,124.41153398200647,122.59332793506223,122.59954885226576,117.6378994272716,117.66416498440417,173.8476076268438,161.1967267847773
0.0001,0.001,8,256,70,0.0001,121.98482524814892,128.56650600148672,135.12973574738004,133.25734750548406,147.0985089771783,124.42351042334712,124.39783904801554,125.96575005374736,125.93734553322864,178.9928078722598,186.36482067962191
0.0001,0.0001,8,4096,30,0.0001,122.2559463159362,126.09703342950166,136.77951254773495,130.56452355455997,131.68696950086905,114.88813946852044,114.96258664487011,127.03057212260232,127.02380507739622,168.15459692656106,157.43800524811246
0.0001,0.001,5,1024,70,0.001,122.66341730374008,131.81230237590734,130.23213867642986,128.73720112131602,122.88569401983004,129.11656689999708,129.96910926477233,117.26432074361772,117.43376660702832,194.32333203216098,192.60942601445896
0.0,0.001,10,1024,50,0.0001,122.7675580836054,128.16279482485643,130.77946113472555,149.2691384500532,136.00721313704307,145.0710446371961,145.1491227221133,128.48372137724465,128.4571181909362,154.8347940017928,120.18368052012885
0.0,0.0001,6,8192,70,0.001,123.13642496137476,132.55324816347948,151.62120876027578,140.6147552604106,122.73421182205428,113.7388181544062,113.25725287821756,112.5399393110133,112.79799999407868,116.32950853945604,103.73150071101402
0.0001,0.0001,6,8192,50,0.0001,123.7065709811538,127.86903905156834,153.10657045734462,138.6451550384066,118.14972840494184,118.3893288000306,118.43956101830328,122.68110912949292,122.63251774346652,163.5300570815357,170.82322863678434
0.0001,0.0001,8,8192,30,0.0001,124.3410232316202,130.82574998086957,136.0496337662882,124.05266525496296,138.2755961631661,124.91526572384052,124.96668009971503,127.00107272703256,127.08200767858705,211.0690374801408,174.88710853235045
0.0,0.0001,8,512,70,0.001,124.7754580369636,134.90215626047618,155.91957866611764,123.01997016792866,130.07734896531747,113.6487347617078,114.2484985465434,119.58628517834109,120.23725902500438,115.32500514699451,126.21289449663304
