weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp
0.0001,0.0001,10,8192,70,0.0001,108.85000223188258,187.35694048297935,207.60985542411237,121.08961691785214,110.34373639234856,106.27536978650448,106.24329803239054,112.88363100877449,112.98090026627726,158.92765529120146,196.63438722980555
0.0,0.0001,6,4096,70,0.0001,110.91234955858828,159.38026382674033,185.39169078086735,122.33452680217684,114.73471228756122,110.2101942603268,110.40906069171965,119.66937418126348,119.57958941673164,137.86781834844334,121.33601834880771
0.0001,0.0001,6,4096,70,0.0001,111.22388076782228,159.16110072918792,180.6615450844836,134.72825656720062,116.57892995805882,106.28227820325252,106.37889833592656,107.92552546600795,108.01174405795425,169.96639684420913,191.31013511543844
0.0001,0.0001,5,4096,70,0.001,112.4905662251942,160.90211919528335,209.3678012677093,120.66799750256894,120.04803617676691,111.75740279012652,112.06333006673783,113.23641125123892,113.24037153329422,161.613445908276,167.93332888475106
0.0,0.0001,5,4096,70,0.0001,113.96858494317354,166.92366352365977,167.8669593867971,124.7052776849092,113.63360373653585,108.48908222255422,108.4837969310248,106.18439213197622,106.08902455799615,129.92791412125771,118.01333396114521
0.0001,0.0001,10,1024,70,0.001,114.4102665915418,164.86207984810446,199.9264751832877,130.1921444223888,119.64267716478946,128.47458062243106,129.03608464483003,120.33028320767988,120.63601163607925,190.2211399363048,177.6726963555635
0.0,0.0001,5,4096,50,0.001,114.65754810731802,161.67711357572185,174.03308398688017,141.48260179206503,111.6283322234652,118.60299904666728,118.64126808963604,121.47106250364388,121.68562425072514,165.18251868860045,111.06619103275128
0.0001,0.0001,6,2048,70,0.0001,115.76577388706492,168.69360687483604,213.16300520256385,126.73380683785054,116.55418868563068,113.54788677727998,113.69661334023549,105.79221235816158,105.92673646158246,159.63677978515625,181.5787010762229
0.0001,0.0001,10,2048,70,0.0001,116.68421286967263,172.42750526542093,178.90801136529268,126.22972565266625,145.99721481550986,115.24389221419148,115.24906272318826,107.03654630860288,107.16928857831812,147.31730344402257,175.5025445738835
0.0001,0.0001,5,4096,50,0.001,116.845755164303,168.6568272149385,202.8150211732779,127.27952245456068,131.85761949909266,115.37011280344494,116.30213928222656,111.18352781836666,111.01640894875598,154.14424019429222,184.76542333346694
0.0001,0.0001,5,8192,50,0.0001,117.50338562922693,176.8473769515308,201.1667611421044,126.88978252126208,113.77225266641643,120.63653940229274,120.64957257171176,113.7975293629205,113.86595461261808,150.77841448428026,157.14642994439424
0.0,0.0001,5,4096,50,0.0001,117.67732028107145,170.82695300543486,193.6163190016106,131.97706917150697,113.62779957500857,112.59175961053194,112.72301745058886,107.6695250610807,107.85136823511836,135.0801693361197,106.0179446206164
0.0001,0.0001,6,8192,70,0.001,117.9642911313185,170.4519852026185,164.53128245339465,127.48468700807486,113.16347065256603,104.48090744018556,104.81178636693242,107.91005968691698,108.55679304208329,165.1029932961535,174.3589824847321
0.0,0.0001,10,1024,70,0.001,118.04762040323286,173.13841537931071,187.5345976530616,128.37020515328024,129.5101229539558,123.18126792338356,124.3618072965252,109.42467271036176,109.52400133503018,135.92565940743063,126.33946313431014
0.0001,0.0001,10,4096,50,0.001,118.21730280634182,171.7580654656709,173.90951452682268,123.67683114578476,116.40356083770295,114.81898447292954,115.89792661524532,117.77967031678158,117.8040808492632,201.51782465692776,156.39124115901208
