weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_comp_mlp
0.0,0.0001,6,128,30,0.001,,,,,,,,,,0.09219956005421968
0.0001,0.0001,8,512,30,0.0001,,,,,,,,,,0.11986746914111651
0.0,0.001,5,4096,70,0.0001,,,,,,,,,,0.11437552800545325
0.0,0.001,5,2048,70,0.0001,,,,,,,,,,0.11846989123867108
0.0,0.0001,6,4096,70,0.001,,,,,,,,,,0.11932197849337871
0.0,0.001,6,8192,50,0.0001,,,,,,,,,,0.11137497436541777
0.0001,0.001,10,1024,50,0.001,,,,,,,,,,0.1668354801260508
0.0,0.001,5,256,30,0.0001,,,,,,,,,,0.09926511825850377
0.0001,0.0001,10,8192,50,0.001,,,,,,,,,,0.13528564469172405
0.0001,0.0001,5,8192,50,0.0001,,,,,,,,,,0.13795869510907394
0.0001,0.001,10,2048,70,0.001,,,,,,,,,,0.16632879880758433
0.0,0.001,5,512,30,0.001,,,,,,,,,,0.1052459767804696
0.0,0.001,5,8192,70,0.001,,,,,,,,,,0.11534326577988954
0.0001,0.0001,8,1024,70,0.001,,,,,,,,,,0.1494066298007965
0.0,0.001,6,2048,70,0.001,,,,,,,,,,0.11822059446802506
0.0,0.001,8,1024,30,0.0001,,,,,,,,,,0.10704222596608676
0.0001,0.0001,6,8192,70,0.0001,,,,,,,,,,0.14844787648090949
0.0001,0.0001,5,2048,70,0.001,,,,,,,,,,0.14989702036747565
0.0001,0.001,6,8192,70,0.0001,,,,,,,,,,0.1678660097030493
0.0,0.001,10,512,30,0.0001,,,,,,,,,,0.09914627591004739
0.0,0.001,5,1024,50,0.001,,,,,,,,,,0.11289583347164668
0.0001,0.0001,5,1024,50,0.0001,,,,,,,,,,0.13647244182916787
0.0,0.001,8,128,50,0.0001,,,,,,,,,,0.10893060438908063
0.0001,0.001,8,1024,30,0.0001,,,,,,,,,,0.16623889826811278
0.0001,0.001,5,2048,30,0.0001,,,,,,,,,,0.16577197255996556
0.0001,0.0001,6,256,30,0.0001,,,,,,,,,,0.11931127435885942
0.0,0.0001,6,8192,70,0.001,,,,,,,,,,0.11932700001276457
0.0,0.001,5,64,30,0.0001,,,,,,,,,,0.09518401568325666
0.0,0.001,6,1024,70,0.001,,,,,,,,,,0.1196022711121119
0.0001,0.0001,5,1024,70,0.0001,,,,,,,,,,0.1499554524054894
0.0,0.0001,6,4096,70,0.0001,,,,,,,,,,0.11915900741632168
0.0001,0.001,10,2048,50,0.001,,,,,,,,,,0.16658112303568767
0.0,0.001,10,8192,30,0.0001,,,,,,,,,,0.11675927742169454
0.0,0.0001,10,1024,50,0.0001,,,,,,,,,,0.11405131816864014
0.0,0.0001,6,64,30,0.001,,,,,,,,,,0.08725401564286306
0.0,0.001,5,512,50,0.0001,,,,,,,,,,0.11412176438249075
0.0,0.001,5,4096,30,0.001,,,,,,,,,,0.11353608291023053
0.0001,0.001,10,2048,50,0.001,,,,,,,,,,0.16847715079784392
0.0,0.0001,8,64,30,0.001,,,,,,,,,,0.09173143996069065
0.0,0.001,5,1024,70,0.0001,,,,,,,,,,0.11109859909002598
0.0,0.001,10,2048,30,0.0001,,,,,,,,,,0.10493668071352519
0.0001,0.001,6,64,50,0.0001,,,,,,,,,,0.16658695454780872
0.0,0.001,6,2048,30,0.0001,,,,,,,,,,0.09557747502739612
0.0,0.001,6,512,30,0.0001,,,,,,,,,,0.10678740418874301
0.0,0.0001,6,2048,70,0.001,,,,,,,,,,0.1153609373821662
0.0,0.001,5,2048,70,0.001,,,,,,,,,,0.11114598512649536
0.0001,0.001,6,64,70,0.001,,,,,,,,,,0.16550715485444437
0.0001,0.0001,8,2048,30,0.001,,,,,,,,,,0.12026521288431608
0.0,0.001,5,128,50,0.0001,,,,,,,,,,0.12148994683073117
0.0,0.0001,8,8192,50,0.0001,,,,,,,,,,0.11595352710439609
0.0001,0.001,5,1024,30,0.001,,,,,,,,,,0.16636778781047235
0.0,0.0001,5,1024,30,0.001,,,,,,,,,,0.11771807899841895
0.0,0.001,6,256,30,0.001,,,,,,,,,,0.1063484101341321
0.0,0.0001,5,8192,50,0.001,,,,,,,,,,0.11655471691718468
0.0,0.001,8,128,70,0.001,,,,,,,,,,0.11201228327476061
0.0,0.0001,5,512,70,0.001,,,,,,,,,,0.12059216378973081
0.0001,0.0001,10,512,50,0.001,,,,,,,,,,0.13634181584303195
0.0001,0.001,6,8192,50,0.0001,,,,,,,,,,0.16824234758432094
0.0,0.001,5,2048,50,0.001,,,,,,,,,,0.11630334258079529
0.0,0.0001,10,256,50,0.001,,,,,,,,,,0.11302576093719556
0.0,0.0001,8,128,50,0.001,,,,,,,,,,0.10685226670824564
0.0,0.0001,8,2048,70,0.0001,,,,,,,,,,0.11950831229870136
0.0001,0.001,5,8192,30,0.0001,,,,,,,,,,0.18035269379615784
0.0001,0.0001,6,128,30,0.0001,,,,,,,,,,0.12007761058899072
0.0,0.001,5,256,30,0.0001,,,,,,,,,,0.10380309330156216
0.0001,0.001,5,64,30,0.001,,,,,,,,,,0.16572517580710924
0.0,0.0001,5,4096,30,0.001,,,,,,,,,,0.11686559371077097
0.0001,0.0001,10,2048,50,0.001,,,,,,,,,,0.1358807234809949
0.0001,0.001,10,256,30,0.0001,,,,,,,,,,0.17114812078384253
0.0,0.001,5,64,70,0.001,,,,,,,,,,0.10952179666178731
0.0,0.001,8,2048,30,0.001,,,,,,,,,,0.10892959598165292
0.0001,0.0001,5,512,70,0.001,,,,,,,,,,0.1498981052866349
0.0,0.0001,8,1024,30,0.0001,,,,,,,,,,0.12153480683381741
0.0,0.0001,5,128,70,0.0001,,,,,,,,,,0.1148789633352023
0.0001,0.001,6,64,50,0.001,,,,,,,,,,0.1659784680375686
0.0001,0.001,5,512,50,0.0001,,,,,,,,,,0.1659739001439168
0.0,0.001,5,2048,30,0.0001,,,,,,,,,,0.105905078838651
0.0001,0.0001,8,4096,50,0.0001,,,,,,,,,,0.13489389339318641
0.0001,0.001,5,8192,70,0.001,,,,,,,,,,0.16965950899399243
0.0001,0.0001,10,8192,30,0.0001,,,,,,,,,,0.12484247472423773
0.0,0.001,8,4096,50,0.0001,,,,,,,,,,0.10657530352473259
0.0,0.0001,10,256,70,0.0001,,,,,,,,,,0.11513608396053314
0.0,0.001,10,64,30,0.001,,,,,,,,,,0.09382173576607154
0.0001,0.001,10,8192,70,0.001,,,,,,,,,,0.16958909057653868
0.0001,0.001,5,1024,70,0.001,,,,,,,,,,0.1665744852561217
0.0,0.001,8,512,50,0.001,,,,,,,,,,0.10956640707758757
0.0001,0.001,8,2048,50,0.0001,,,,,,,,,,0.16532947845183887
0.0,0.0001,8,4096,50,0.001,,,,,,,,,,0.11375052361534192
0.0001,0.0001,6,512,70,0.001,,,,,,,,,,0.14802202685521199
0.0001,0.001,8,2048,30,0.0001,,,,,,,,,,0.16665560408280447
0.0001,0.001,5,1024,70,0.001,,,,,,,,,,0.16625519062464053
0.0001,0.0001,5,64,30,0.001,,,,,,,,,,0.12025038026846373
0.0001,0.001,8,4096,50,0.0001,,,,,,,,,,0.17000761570838782
0.0,0.001,10,8192,70,0.0001,,,,,,,,,,0.11787950849303833
0.0001,0.001,10,4096,30,0.0001,,,,,,,,,,0.16692914905456396
0.0001,0.001,8,1024,30,0.0001,,,,,,,,,,0.1672350368820704
0.0001,0.0001,6,256,70,0.0001,,,,,,,,,,0.14746561749623371
0.0,0.0001,5,8192,70,0.001,,,,,,,,,,0.12082697946864825
0.0,0.001,8,512,30,0.001,,,,,,,,,,0.10436085835099221
0.0,0.0001,10,2048,50,0.001,,,,,,,,,,0.11705502541019366
