weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,hyperparameter_setting_id,kFold_id,val_loss_mlp,val_loss_hard_post_mlp,val_loss_hard_thr_post_mlp,val_loss_hard_pre_mlp,val_loss_hard_thr_pre_mlp,val_loss_soft_mlp,val_loss_soft_hard_mlp,val_loss_soft_comp_mlp,val_loss_soft_hard_comp_mlp,val_loss_hard_bitwise_minmax_mlp,val_loss_hard_bitwise_quantile_mlp,train_loss_mlp,train_loss_hard_pre_mlp,train_loss_hard_thr_pre_mlp,train_loss_soft_mlp,train_loss_soft_comp_mlp,train_loss_hard_bitwise_minmax_mlp,train_loss_hard_bitwise_quantile_mlp
0.0001,0.0001,5,512,30,0.001,0,0,0.4951075870882381,0.4893805831670761,0.49878303571180865,0.5265798785469749,0.544258629733866,0.566816275770014,0.5668571076609872,0.5387113067236814,0.5383888713338159,0.5470693450082432,0.5952933931892569,0.2561738756687745,0.2472579385275426,0.22883260703605154,0.2611628004714199,0.2636846653793169,0.22993188594346461,0.24160225090125334
0.0001,0.0001,5,512,30,0.001,0,9,0.5279805633154783,0.5273278897458856,0.5164970863949169,0.4978487329049544,0.4987725886431607,0.5084828233177011,0.5107747736302289,0.5354501930150118,0.535714328289032,0.640883055600253,0.5376798022877086,0.27213594754752907,0.2568430239739625,0.22385750532798146,0.2290470822835746,0.24636234181082767,0.20442411838018376,0.25407933735329175
0.0001,0.0001,5,512,30,0.001,0,2,0.5423060791058973,0.5455013649030165,0.5424836711450056,0.565363737669858,0.5139099793000654,0.5316351625052366,0.5313237824223258,0.5482777546752583,0.5481348173184828,0.6003644899888472,0.5630111965266141,0.2588474632281324,0.25504687687625055,0.23009471611484236,0.2485989307903725,0.2786256368069545,0.20899696146016536,0.24671454371317572
0.0001,0.0001,5,512,30,0.001,0,6,0.5585713169791482,0.5600989081642844,0.5572494512254541,0.5888917039741169,0.6009784097021277,0.5562704611908306,0.5567648031494834,0.5823049193078821,0.5821927487850189,0.5988239673050967,0.5811784700913862,0.25497617507758347,0.2686907595590405,0.24112812899377034,0.2836883513499861,0.2635587157438631,0.21667637319668479,0.2678899742338968
0.0001,0.0001,5,512,30,0.001,0,7,0.5721400651064786,0.5716778554699637,0.5753254294395447,0.6047515652396462,0.5526500398462469,0.532325641675429,0.5325186550617218,0.5749920850450342,0.5751831937919963,0.6332253271883185,0.6019614582712,0.27812348435754364,0.26035910277910856,0.25507840935302817,0.2598018463215102,0.2562971175040888,0.2162063832840194,0.26800860415982164
0.0001,0.0001,5,512,30,0.001,0,5,0.5803188600323417,0.5847007144581188,0.5868811526081779,0.5994921299544248,0.5585065321488814,0.5569032376462763,0.5571085458452051,0.5386192988265645,0.5388795029033314,0.5559234944256869,0.5563890365037051,0.27699858371330344,0.26343321800231934,0.205648530193645,0.26133961910786835,0.2679794338410315,0.21368265961823257,0.2674606690264266
0.0001,0.0001,5,512,30,0.001,0,1,0.5954456654461947,0.5931581502610986,0.5961603874509985,0.5686401453885165,0.6028278578411449,0.5611295591701161,0.5609172067858956,0.5248740410262888,0.5246348719705235,0.6647065823728388,0.6170604256066409,0.25385281249232916,0.266238484531641,0.24439374713794046,0.21998381468912828,0.2504899644333383,0.22724420706862988,0.28172227529727895
0.0001,0.0001,5,512,30,0.001,0,8,0.6136232614517212,0.6164588088339026,0.6201791682026603,0.6375510232015089,0.5876350565390154,0.6461947939612649,0.6461732875217091,0.6501911282539368,0.6499830890785564,0.7064023613929749,0.6329939907247369,0.2724374160170555,0.24757367210543674,0.21668157532163287,0.2497486697266931,0.2788923724513987,0.21869414728944717,0.26086662628728413
0.0001,0.0001,5,512,30,0.001,0,4,0.6520906605503776,0.6537687534635718,0.6457193846052344,0.680146954276345,0.6568887775594537,0.6455572464249351,0.6450955921953375,0.6607511666688052,0.6607086848128926,0.6696991297331724,0.680692195892334,0.2609263943589252,0.2565996275971765,0.2261042509066022,0.22749333666718524,0.23678823252734932,0.21695695234381634,0.25545567711410316
0.0001,0.0001,5,512,30,0.001,0,3,0.6825506605885245,0.6873993331735785,0.6767192212018099,0.7006113854321566,0.6658711162480441,0.6866854998198423,0.6867497942664407,0.725285990671678,0.7257817062464628,0.6722652370279486,0.7323930967937816,0.2755239843998266,0.2364336161509804,0.20165479976845824,0.28630686599923216,0.25906681917283847,0.22113504754784313,0.25980271431414975
