hyperparameter_setting_id,kFold_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_FP,val_loss_Po-MQ,val_loss_Po-QQ,val_loss_Pr-MQ,val_loss_Pr-QQ,val_loss_SQ,val_loss_SQplus,val_loss_Bw-MQ,val_loss_Bw-QQ,val_loss_Bw-SQ,val_loss_LLT,val_loss_LSQ,test_loss_FP,test_loss_Po-MQ,test_loss_Po-QQ,test_loss_Pr-MQ,test_loss_Pr-QQ,test_loss_SQ,test_loss_SQplus,test_loss_Bw-MQ,test_loss_Bw-QQ,test_loss_Bw-SQ,test_loss_LLT,test_loss_LSQ,train_loss_FP,train_loss_Pr-MQ,train_loss_Pr-QQ,train_loss_SQ,train_loss_SQplus,train_loss_Bw-MQ,train_loss_Bw-QQ,train_loss_Bw-SQ,train_loss_LLT,train_loss_LSQ,time_FP,time_Pr-MQ,time_SQ,time_SQplus,time_Bw-MQ,time_Bw-SQ,time_LLT,time_LSQ,val_loss_SQ_train,test_loss_SQ_train,val_loss_SQplus_train,test_loss_SQplus_train,val_loss_Bw-SQ_train,test_loss_Bw-SQ_train
0,0,6,0.0,0.0001,10,512,50,0.0001,0.5875546932220459,0.5961237400770187,0.6116470694541931,0.6456500887870789,0.607846811413765,0.5709120333194733,0.5960870832204819,0.5540377125144005,0.6267316490411758,0.5999018400907516,,0.6307466179132462,0.5230175405740738,0.5268374532461166,0.5468060672283173,0.5681551396846771,0.5700277984142303,0.548232764005661,0.5596498548984528,0.8511278033256531,0.8476103246212006,0.5824889242649078,,0.5717002302408218,0.3682403385639191,0.33702977299690245,0.3360057294368744,0.37252008318901064,0.32186397910118103,0.1852918192744255,0.29477687180042267,0.18437667638063432,,0.36000916063785554,2.0250189313665032,1.7926649181172252,2.073012533597648,1.9506558617576957,1.8411680944263935,1.8930878257378936,,1.8322712257504463,0.5707434862852097,0.548214465379715,0.5960754752159119,0.5596001148223877,0.5997327864170074,0.5821849703788757
0,1,6,0.0,0.0001,10,512,50,0.0001,0.6354595273733139,0.6444970369338989,0.6323845237493515,0.6607009023427963,0.6304005682468414,0.6175888031721115,0.6188053041696548,0.6473156660795212,0.6610372960567474,0.6613403260707855,,0.6463173925876617,0.24148161709308624,0.26113536208868027,0.2865869402885437,0.2780895084142685,0.2605445459485054,0.2510680854320526,0.28401896357536316,0.8655372262001038,0.8646695613861084,0.20188410580158234,,0.2809784263372421,0.3350456416606903,0.32624785900115966,0.31608450710773467,0.2982149884104729,0.3322466492652893,0.16689363569021226,0.22884281277656554,0.18505052626132965,,0.3593071073293686,1.674680876545608,1.857875268906355,1.9666688432916999,1.9343898436054587,1.764592801220715,1.8348052557557821,,1.8928607385605574,0.617684431374073,0.2504909485578537,0.6187715232372284,0.28401970863342285,0.660568431019783,0.20178623497486115
0,2,6,0.0,0.0001,10,512,50,0.0001,0.5434576570987701,0.5608234107494354,0.5500791370868683,0.597662478685379,0.5560231879353523,0.6150669753551483,0.5725420266389847,0.6061460971832275,0.5831980258226395,0.6494627892971039,,0.6344399154186249,0.2710411101579666,0.2897224798798561,0.303512841463089,0.28770381212234497,0.24240842461585999,0.35414670407772064,0.28308214247226715,0.854683518409729,0.8584937453269958,0.146011121571064,,0.3370395600795746,0.3624520242214203,0.36468216478824617,0.3096552282571793,0.3544233441352844,0.33118613362312316,0.132816281914711,0.19384416788816453,0.15562637746334076,,0.3401056796312332,1.7617072332650423,1.8694641487672925,2.0498474640771747,1.9444284113124013,1.8440956436097622,1.8348898952826858,,1.811791772954166,0.6146515309810638,0.353643000125885,0.5725520178675652,0.2831101343035698,0.648594081401825,0.14459633082151413
0,3,6,0.0,0.0001,10,512,50,0.0001,0.5651816427707672,0.5814796015620232,0.5655378773808479,0.6186947673559189,0.597275048494339,0.6101363003253937,0.6123860478401184,0.7009017616510391,0.711282879114151,0.5877811387181282,,0.6848302185535431,0.2895912006497383,0.30898670852184296,0.3458086848258972,0.28472381085157394,0.28132160007953644,0.2925173044204712,0.25933046638965607,0.857537031173706,0.855461835861206,0.15912245959043503,,0.30349916219711304,0.33783947229385375,0.3402142733335495,0.34235674142837524,0.3654619663953781,0.3016276121139526,0.14944514110684395,0.21582426279783248,0.17383560240268708,,0.33641319870948794,1.674564067274332,1.8660125080496073,2.042348616756499,1.8614256391301751,1.7670911941677332,1.8349234955385327,,1.8946959972381592,0.6096167713403702,0.29202985763549805,0.6123901903629303,0.25933100283145905,0.5883656367659569,0.15909795463085175
1,0,6,0.001,0.0001,8,128,30,0.001,0.6199687868356705,0.6274721473455429,0.635912224650383,0.6193923652172089,0.6498755663633347,0.6275552064180374,0.6356501579284668,0.654321163892746,0.6135311275720596,0.6317312866449356,,0.6106339395046234,0.5183841735124588,0.5262752920389175,0.5424102991819382,0.5201853960752487,0.5600678026676178,0.5363666117191315,0.551055908203125,0.8512410521507263,0.8529459834098816,0.5521450638771057,,0.5134036540985107,0.6196988880634308,0.6130456507205964,0.631985729932785,0.615353274345398,0.6222141504287719,0.5892657935619354,0.6307008981704711,0.6170722067356109,,0.6193715870380402,1.0011484324932098,1.0613181591033936,1.1708967257291079,1.1084569534286857,1.0526733566075563,1.048380714841187,,1.078117792494595,0.627365380525589,0.5361252278089523,0.6357384920120239,0.5511048287153244,0.6320737302303314,0.5520916134119034
1,1,6,0.001,0.0001,8,128,30,0.001,0.6094968542456627,0.6100787371397018,0.6126415729522705,0.5975889787077904,0.5917343944311142,0.5998435840010643,0.5952906608581543,0.6077963337302208,0.5896520018577576,0.5864234194159508,,0.6074521765112877,0.5054603666067123,0.5080133527517319,0.545997142791748,0.49340325593948364,0.5414333194494247,0.5239852517843246,0.5105862617492676,0.8626293838024139,0.8653519153594971,0.5203664004802704,,0.5031177252531052,0.630443400144577,0.6293644428253173,0.6215394675731659,0.6256495237350463,0.6187737822532654,0.6107704639434814,0.6234864234924317,0.6061193585395813,,0.63174849152565,0.9952222891151905,1.0643271962180734,1.170590989291668,1.1104466607794166,1.0548159936442971,1.0489559583365917,,1.0758792171254754,0.5997894555330276,0.5238819271326065,0.5952288210391998,0.5106805115938187,0.5865060538053513,0.5203723460435867
1,2,6,0.001,0.0001,8,128,30,0.001,0.6098064482212067,0.6121068224310875,0.6101611331105232,0.5985971614718437,0.5989122241735458,0.6017235964536667,0.5917846113443375,0.627237930893898,0.5991304069757462,0.6407100856304169,,0.6125715002417564,0.4888444095849991,0.49097365140914917,0.5278952717781067,0.49453820288181305,0.5285262614488602,0.5223091244697571,0.515235185623169,0.8561172783374786,0.8540805876255035,0.5730012357234955,,0.5059094727039337,0.6314438462257386,0.6205890119075775,0.6238990426063538,0.6230101227760315,0.6165436685085297,0.6039428889751435,0.616265881061554,0.6266782581806183,,0.6251406908035279,0.9995040409266949,1.0636076042428613,1.171254601329565,1.1122129205614328,1.0598495360463858,1.0495256213471293,,1.0800934303551912,0.6017399802803993,0.5221956968307495,0.5918265953660011,0.5153631120920181,0.6408831775188446,0.5731838494539261
1,3,6,0.001,0.0001,8,128,30,0.001,0.6150694191455841,0.6160612553358078,0.6138196215033531,0.6336915343999863,0.6093261912465096,0.6242831945419312,0.6173662543296814,0.6290652081370354,0.6006904765963554,0.607286736369133,,0.6183009818196297,0.5006592571735382,0.5045312643051147,0.545362800359726,0.5066667795181274,0.5319228619337082,0.5303356349468231,0.5317999571561813,0.8706673085689545,0.8554604649543762,0.5228023082017899,,0.5103761255741119,0.6176608860492706,0.6389998614788055,0.6332994878292084,0.6406958699226379,0.6329087853431702,0.6028142929077148,0.6420099556446075,0.6157759249210357,,0.6310477316379547,0.9981888262555003,1.0626236647367477,1.1682870741933584,1.109199395403266,1.054344518110156,1.0478444108739495,,1.07855327706784,0.6244081258773804,0.5302560180425644,0.6173637211322784,0.5320402234792709,0.6073843017220497,0.5229794979095459
2,0,6,0.001,0.001,6,1024,50,0.001,0.6259140968322754,0.6237756907939911,0.6444527059793472,0.595214918255806,0.6049355715513229,0.6140212416648865,0.6410380303859711,0.6764435470104218,0.7424998581409454,0.6473347097635269,,0.6302808970212936,0.5872860848903656,0.5964014232158661,0.6147440671920776,0.5477271676063538,0.56886225938797,0.5669233500957489,0.5926778316497803,0.850078821182251,0.8496279418468475,0.6363135278224945,,0.5894226431846619,0.17437659949064255,0.2375950649380684,0.18194500654935836,0.18427773863077163,0.14366216212511063,0.17452252805233,0.17808955460786818,0.11965965181589126,,0.18326524943113326,1.6957423705607653,1.7927779359743,1.9605615511536598,1.8569554388523102,1.8019229639321566,1.7186536435037851,,1.8092616014182568,0.6126836389303207,0.5547306835651398,0.6414962112903595,0.5939054191112518,0.6469461619853973,0.6361791491508484
2,1,6,0.001,0.001,6,1024,50,0.001,0.6512155830860138,0.669215977191925,0.657585546374321,0.6300390362739563,0.7146726101636887,0.6712516397237778,0.6341935992240906,0.6850137710571289,0.6451909095048904,0.6431283205747604,,0.6549670249223709,0.13875851780176163,0.1611972451210022,0.1953088417649269,0.17803916335105896,0.16570409387350082,0.11640113964676857,0.14910703152418137,0.859758198261261,0.8610099256038666,0.1373453214764595,,0.20176927000284195,0.15669672787189484,0.19254713654518127,0.16107367128133773,0.14108418598771094,0.1818181410431862,0.15381016880273818,0.13517429381608964,0.11967535391449928,,0.18958630561828613,1.6081877490505576,1.7940474022179842,1.9595244526863098,1.774083805270493,1.7255105087533593,1.7946535153314471,,1.808484660461545,0.6725309044122696,0.1102634146809578,0.6335122287273407,0.1493247225880623,0.6428962647914886,0.1375104859471321
