hyperparameter_setting_id,kFold_id,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,val_loss_FP,val_loss_Po-MQ,val_loss_Po-QQ,val_loss_Pr-MQ,val_loss_Pr-QQ,val_loss_SQ,val_loss_SQplus,val_loss_Bw-MQ,val_loss_Bw-QQ,val_loss_Bw-SQ,val_loss_LLT,val_loss_LSQ,test_loss_FP,test_loss_Po-MQ,test_loss_Po-QQ,test_loss_Pr-MQ,test_loss_Pr-QQ,test_loss_SQ,test_loss_SQplus,test_loss_Bw-MQ,test_loss_Bw-QQ,test_loss_Bw-SQ,test_loss_LLT,test_loss_LSQ,train_loss_FP,train_loss_Pr-MQ,train_loss_Pr-QQ,train_loss_SQ,train_loss_SQplus,train_loss_Bw-MQ,train_loss_Bw-QQ,train_loss_Bw-SQ,train_loss_LLT,train_loss_LSQ,time_FP,time_Pr-MQ,time_SQ,time_SQplus,time_Bw-MQ,time_Bw-SQ,time_LLT,time_LSQ,val_loss_SQ_train,test_loss_SQ_train,val_loss_SQplus_train,test_loss_SQplus_train,val_loss_LLT_train,test_loss_LLT_train,val_loss_Bw-SQ_train,test_loss_Bw-SQ_train
8,2,0.0,0.0001,5,1024,70,0.001,0.5282072052359581,0.5271508097648621,0.5293906331062317,0.5611429661512375,0.5449172258377075,0.5622706711292267,0.5851204842329025,0.5231852382421494,0.5148900672793388,0.5665533393621445,0.7314399480819702,0.5652596205472946,0.09891926497220993,0.1013563945889473,0.11407922953367233,0.09182766452431679,0.08650829270482063,0.08312809467315674,0.09211372956633568,0.8552661240100861,0.8556467592716217,0.01792987994849682,0.3234753906726837,0.10045788437128067,0.1391366206109524,0.09061093032360076,0.08634648993611335,0.08917775526642799,0.06675993725657463,0.004463583906181156,0.030098121240735055,0.01941866781562567,0.330884724855423,0.128669586032629,2.168058019131422,2.3954820558428764,2.5842193327844143,2.492321752011776,2.4872236624360085,2.497312355786562,8.92521683871746,2.330265697091818,0.5640000253915787,0.07739567384123802,0.5860811918973923,0.09006767719984055,0.7313959300518036,0.3235919773578644,0.5675003603100777,0.017622578889131546
8,3,0.0,0.0001,5,1024,70,0.001,0.6190805956721306,0.6192552223801613,0.6168752610683441,0.5837940275669098,0.5953340083360672,0.5956337153911591,0.6377853602170944,0.5722862780094147,0.6295368373394012,0.5794290378689766,0.7083580940961838,0.6562190055847168,0.12181844562292099,0.12369965761899948,0.15451917052268982,0.07500645890831947,0.1015394814312458,0.07381370663642883,0.06916121393442154,0.8571946918964386,0.8559111654758453,0.0196014903485775,0.2652463763952255,0.09467693418264389,0.08177236095070839,0.08991738334298134,0.09957019984722137,0.07366440519690513,0.08392530977725983,0.012105029262602329,0.010182199999690056,0.0194499297067523,0.3522007822990417,0.09305384904146194,2.1679664589464664,2.3911454677581787,2.5536890886723995,2.4908274561166763,2.4899776689708233,2.4904683344066143,8.962240424007177,2.3394380807876587,0.5923434942960739,0.06901596859097481,0.639355942606926,0.06852219998836517,0.7082738429307938,0.2652832493185997,0.5785141512751579,0.01910572126507759
9,0,0.0001,0.001,6,512,70,0.0001,0.627919614315033,0.6109481900930405,0.6212570816278458,0.5933987274765968,0.6060015112161636,0.6022704690694809,0.6063781678676605,0.6426970660686493,0.6951927691698074,0.649877592921257,0.6832997500896454,0.6425311118364334,0.5692870020866394,0.5445543825626373,0.5631878077983856,0.5415300726890564,0.5366449505090714,0.561938464641571,0.5508210062980652,0.8512628972530365,0.8475197851657867,0.6572316288948059,0.5904140770435333,0.6028689742088318,0.018862918298691512,0.01753911292180419,0.018724543415009974,0.02690682131797075,0.005070487619377673,0.0999561134725809,0.09730765447020531,0.06365187093615532,0.23747868090867996,0.038759785890579226,2.1680902801454067,2.3348139449954033,2.571398515254259,2.5096466094255447,2.2999792881309986,2.2889888659119606,8.575286116451025,2.3543097637593746,0.5808643028140068,0.5422722697257996,0.6063134521245956,0.5506908893585205,0.6832997798919678,0.5904140770435333,0.6498916447162628,0.657296895980835
9,1,0.0001,0.001,6,512,70,0.0001,0.6240060478448868,0.6259008944034576,0.6241794526576996,0.6270280480384827,0.659694716334343,0.6234153509140015,0.6671057343482971,0.7332508414983749,0.7297853827476501,0.7094579786062241,0.7495453804731369,0.6286162734031677,0.020006155595183372,0.020595786161720753,0.04490781016647816,0.012744931504130363,0.017520003952085972,0.027727664448320866,0.007167426636442542,0.8623337149620056,0.8684358596801758,0.07045548036694527,0.2182040438055992,0.017410458996891975,0.035013852268457414,0.01686470489948988,0.0177733208052814,0.01097256001085043,0.008500623935833573,0.09856474548578262,0.059782131016254424,0.10828216634690761,0.24972976446151735,0.021301846392452715,2.1759199425578117,2.4099166356027126,2.5622759498655796,2.4999721944332123,2.3016179278492928,2.366396564990282,8.500902500003576,2.3472795747220516,0.6176896467804909,0.006362124811857939,0.6675599217414856,0.007114699576050043,0.7495453804731369,0.21820403635501862,0.7094177305698395,0.07064865902066231
9,2,0.0001,0.001,6,512,70,0.0001,0.5587512701749802,0.560643658041954,0.5691034942865372,0.5555041655898094,0.5339719504117966,0.5574238300323486,0.5755597651004791,0.6617655456066132,0.6649006903171539,0.6102879047393799,0.6899808049201965,0.5332749560475349,0.01832701126113534,0.01930704014375806,0.03949068859219551,0.02096709981560707,0.040297796949744225,0.04841176047921181,0.0069952503545209765,0.8538167774677277,0.8540915250778198,0.04895506799221039,0.18918558955192566,0.015076849609613419,0.028822827339172363,0.02733434587717056,0.039834637008607385,0.020545287802815438,0.012256493838503957,0.09345943555235862,0.08717436417937278,0.06121425740420818,0.25501468777656555,0.022443751245737074,2.164569456130266,2.314454797655344,2.5593524873256683,2.4243569672107697,2.3049055337905884,2.36915310844779,8.513018745929003,2.355348352342844,0.5616213828325272,0.013338940683752298,0.5755252987146378,0.006991197355091572,0.6899808198213577,0.18918559700250626,0.6103476285934448,0.048946844413876534
9,3,0.0001,0.001,6,512,70,0.0001,0.5946017354726791,0.5982389897108078,0.5870275944471359,0.5995330139994621,0.6191052496433258,0.659517377614975,0.6395644843578339,0.7836949825286865,0.6494382470846176,0.5792801901698112,0.8248035609722137,0.611802950501442,0.012595592997968197,0.013293546624481678,0.03472035378217697,0.022972737438976765,0.017381292302161455,0.04480290412902832,0.005662347888574004,0.8552885949611664,0.8568262457847595,0.04575258307158947,0.17972923070192337,0.008431199938058853,0.017031839676201345,0.024542554467916488,0.023173444904386997,0.01848830934613943,0.006803925102576614,0.09106334447860717,0.07575296834111214,0.07196395210921765,0.2328185960650444,0.013564871903508902,2.3389966897666454,2.4111325442790985,2.7028576880693436,2.550856377929449,2.300570845603943,2.3710269033908844,8.895741287618876,2.3978096283972263,0.6432861834764481,0.010260866023600101,0.6395415216684341,0.005643654149025679,0.8248036056756973,0.17972923070192337,0.5793508365750313,0.045826446264982224
10,0,0.0,0.001,5,512,50,0.0001,0.5945573151111603,0.5985359400510788,0.6185048073530197,0.6385234296321869,0.6089425534009933,0.6386096775531769,0.6394248455762863,0.7017793655395508,0.6332519203424454,0.6394306272268295,0.6967204213142395,0.6148571968078613,0.5700330287218094,0.5716455280780792,0.5956685543060303,0.5747559070587158,0.564258873462677,0.6372498571872711,0.5538545250892639,0.8491571247577667,0.8517898321151733,0.6194097101688385,0.5980168133974075,0.5524085611104965,0.04421398118138313,0.03999692313373089,0.034204347804188726,0.029604384675621986,0.016918387077748776,0.1634988859295845,0.27665151059627535,0.05939361341297626,0.3064634144306183,0.03466676361858845,1.5246137641370296,1.650027323514223,1.7387305162847042,1.7185551524162292,1.691656917333603,1.693479247391224,6.372599247843027,1.7377472557127476,0.6198690086603165,0.583650678396225,0.6394370645284653,0.553859069943428,0.6967200487852097,0.5980176478624344,0.6394404172897339,0.6194128394126892
10,1,0.0,0.001,5,512,50,0.0001,0.6142426133155823,0.6206620782613754,0.6154894530773163,0.6544045656919479,0.6337885558605194,0.6526005566120148,0.6297228783369064,0.647093653678894,0.5988142490386963,0.662941962480545,0.7407866567373276,0.6104880422353745,0.025971236638724804,0.028426267206668854,0.0501461960375309,0.030812444165349007,0.030166792683303356,0.08264640718698502,0.011066331528127193,0.8632088303565979,0.86561718583107,0.053321562707424164,0.24869025498628616,0.034754399210214615,0.02854529321193695,0.032764453627169135,0.03935897015035152,0.022584779001772404,0.01599283954128623,0.04292917251586914,0.07506193146109581,0.06659333854913711,0.30679465383291243,0.04229721240699291,1.4927881322801113,1.687722735106945,1.832015436142683,1.7114785499870777,1.6330394446849823,1.5330377481877804,6.053797464817762,1.656653605401516,0.6469657123088837,0.021597259677946568,0.6297161877155304,0.011066162958741188,0.7407866716384888,0.2486850991845131,0.6629414409399033,0.05331989377737045
10,2,0.0,0.001,5,512,50,0.0001,0.54021917283535,0.5378635600209236,0.5480034053325653,0.5403024032711983,0.5226600542664528,0.5564729869365692,0.6226752549409866,0.5821016803383827,0.5885988175868988,0.5664932429790497,0.7392660826444626,0.5447162538766861,0.030195188708603382,0.03151657897979021,0.05308844707906246,0.0364119540899992,0.03566266503185034,0.08836468495428562,0.035399739630520344,0.8543448448181152,0.8550067245960236,0.10628940537571907,0.2410329505801201,0.05643153935670853,0.036873658932745454,0.04887770116329193,0.04535914622247219,0.031284777261316774,0.03929339870810509,0.08107725419104099,0.07143275626003742,0.1345219887793064,0.3074998140335083,0.054402200132608415,1.513520535081625,1.576755803078413,1.8996483832597733,1.7177623845636845,1.6053993478417397,1.6702238321304321,6.3913673758506775,1.7266168892383575,0.5503422319889069,0.031009898521006107,0.6226321458816528,0.035400197841227055,0.7392660677433014,0.2410329505801201,0.5664717853069305,0.10629579424858093
10,3,0.0,0.001,5,512,50,0.0001,0.6321053355932236,0.6326662003993988,0.6288473233580589,0.6134676337242126,0.6000470817089081,0.6263073980808258,0.6487563997507095,0.6530837118625641,0.59670140594244,0.6059807986021042,0.7918311357498169,0.6176355630159378,0.03665361925959587,0.03830274008214474,0.05902814865112305,0.026473633013665676,0.04701410420238972,0.06619449704885483,0.007701896596699953,0.8552220165729523,0.8594251275062561,0.07819315046072006,0.25132346898317337,0.039910441264510155,0.040397193282842636,0.04465700276196003,0.0467011097818613,0.021664398536086083,0.0131567707285285,0.05829127542674541,0.10383193641901016,0.08275412768125534,0.3156070619821548,0.05224017165601254,1.5593196824193,1.5912611298263073,1.9011356309056282,1.7656077221035957,1.586985882371664,1.6376206204295158,6.043042097240686,1.5933648981153965,0.6289316415786743,0.01432123128324747,0.6490726321935654,0.007700811605900526,0.7918277680873871,0.251323439180851,0.605995237827301,0.07820098847150803
