dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
cpu_act,48,2,0.0,0.0001,6,64,30,0.0001,Po-QQ,0.8738262804654928
cpu_act,10,2,0.0001,0.0001,10,1024,70,0.0001,Pr-MQ,0.0411483641140735
cpu_act,37,2,0.0001,0.0001,5,128,50,0.0001,Pr-QQ,0.1489561837166547
cpu_act,24,2,0.0001,0.001,5,1024,50,0.0001,Bw-MQ,0.0297863830740634
cpu_act,41,2,0.0001,0.0001,10,512,30,0.0001,Bw-QQ,0.0447181360366252
cpu_act,2,2,0.0001,0.001,6,128,70,0.001,SQ,0.0254658161304317
cpu_act,14,2,0.0,0.001,10,64,70,0.0001,Bw-SQ,0.0270130681948592
cpu_act,36,3,0.0001,0.001,8,256,70,0.0001,FP,0.0175633742330738
cpu_act,15,3,0.0001,0.001,6,512,30,0.001,Po-MQ,0.0510366003530529
cpu_act,23,3,0.0001,0.001,10,2048,30,0.0001,Po-QQ,0.8419079116903818
cpu_act,32,3,0.0001,0.001,5,512,70,0.0001,Pr-MQ,0.0237114454046464
cpu_act,29,3,0.0,0.0001,5,64,70,0.0001,Pr-QQ,0.039873589374698
cpu_act,24,3,0.0,0.0001,8,64,50,0.001,Bw-MQ,0.0221305339024043
cpu_act,10,3,0.0,0.0001,10,8192,70,0.0001,Bw-QQ,0.0299531988942851
cpu_act,0,3,0.0,0.001,6,64,70,0.001,SQ,0.0221049027875638
cpu_act,0,3,0.0,0.001,6,64,70,0.001,Bw-SQ,0.0222231551360051
cpu_act,48,4,0.0001,0.0001,6,1024,70,0.001,FP,0.0178760440303728
cpu_act,43,4,0.0001,0.0001,5,4096,30,0.0001,Po-MQ,0.0245929716226572
cpu_act,5,4,0.0,0.0001,5,512,50,0.001,Po-QQ,0.8088180266463987
cpu_act,24,4,0.0001,0.0001,6,256,30,0.0001,Pr-MQ,0.0198575598259384
cpu_act,13,4,0.0001,0.0001,10,128,50,0.0001,Pr-QQ,0.0296674121027955
cpu_act,2,4,0.0,0.0001,6,128,30,0.001,Bw-MQ,0.0192584253919238
cpu_act,14,4,0.0,0.0001,10,64,70,0.001,Bw-QQ,0.0224509089826964
cpu_act,34,4,0.0,0.001,10,128,50,0.001,SQ,0.0221709198175141
cpu_act,14,4,0.0,0.0001,10,64,70,0.001,Bw-SQ,0.0190585860266134
cpu_act,4,5,0.0001,0.001,5,256,50,0.001,FP,0.0173855509394062
cpu_act,47,5,0.0001,0.001,10,512,70,0.001,Po-MQ,0.01954882736676
cpu_act,41,5,0.0001,0.0001,8,64,50,0.001,Po-QQ,0.1472736598637241
cpu_act,10,5,0.0001,0.0001,8,128,70,0.0001,Pr-MQ,0.0186246332999031
cpu_act,48,5,0.0001,0.0001,10,256,70,0.001,Pr-QQ,0.0256164988574499
cpu_act,40,5,0.0,0.0001,5,64,70,0.001,Bw-MQ,0.0178763172302681
cpu_act,35,5,0.0,0.0001,5,8192,50,0.0001,Bw-QQ,0.0193492134531529
cpu_act,21,5,0.0,0.001,6,256,70,0.0001,SQ,0.0210484186903787
cpu_act,30,5,0.0,0.0001,10,256,30,0.001,Bw-SQ,0.0180495075379999
cpu_act,1,6,0.0001,0.001,6,512,70,0.0001,FP,0.0172181696272812
cpu_act,3,6,0.0001,0.001,8,2048,70,0.001,Po-MQ,0.0175826009936057
cpu_act,41,6,0.0,0.0001,6,64,30,0.0001,Po-QQ,0.0563182478484052
cpu_act,1,6,0.0001,0.001,6,512,70,0.0001,Pr-MQ,0.017047326445866
cpu_act,43,6,0.0,0.0001,10,128,70,0.001,Pr-QQ,0.0272024770697148
cpu_act,28,6,0.0,0.0001,10,512,30,0.0001,Bw-MQ,0.0168211738005853
cpu_act,11,6,0.0,0.0001,10,4096,70,0.0001,Bw-QQ,0.0169744121412244
cpu_act,4,6,0.0,0.001,5,256,50,0.001,SQ,0.0203249025373504
cpu_act,43,6,0.0,0.0001,10,128,70,0.001,Bw-SQ,0.0163558962325063
cpu_act,6,7,0.0001,0.001,8,256,70,0.001,FP,0.0167947234729161
cpu_act,6,7,0.0001,0.001,8,256,70,0.001,Po-MQ,0.01686861819516
cpu_act,8,7,0.0,0.001,10,2048,70,0.0001,Po-QQ,0.0335683114038636
cpu_act,13,7,0.0001,0.0001,5,1024,30,0.0001,Pr-MQ,0.0169913441515885
cpu_act,6,7,0.0001,0.001,8,256,70,0.001,Pr-QQ,0.0278441115855597
cpu_act,32,7,0.0,0.0001,5,64,70,0.001,Bw-MQ,0.0164720222425574
cpu_act,41,7,0.0,0.0001,6,64,70,0.0001,Bw-QQ,0.017118075217765
cpu_act,42,7,0.0,0.001,5,256,50,0.0001,SQ,0.0203969605625248
cpu_act,32,7,0.0,0.0001,5,64,70,0.001,Bw-SQ,0.0155570858874572
