dataset,hyperparameter_setting_id,bits,weight_decay,learning_rate,hidden_layers,hidden_neurons,num_epochs,decrease_factor,method,min
superconduct,13,8,0.0001,0.0001,6,2048,50,0.001,Po-QQ,0.0926626230281886
superconduct,43,8,0.0001,0.0001,5,1024,70,0.0001,Pr-MQ,0.0816331252804956
superconduct,3,8,0.0001,0.0001,8,2048,70,0.0001,Pr-QQ,0.0834223222816088
superconduct,5,8,0.0,0.0001,5,512,50,0.001,Bw-MQ,0.094399340962991
superconduct,38,8,0.0,0.0001,6,512,50,0.001,Bw-QQ,0.0874516399611499
superconduct,1,8,0.0,0.0001,5,256,70,0.0001,SQ,0.080838454695528
superconduct,38,8,0.0,0.0001,6,512,50,0.001,Bw-SQ,0.0870328201522009
wine,35,2,0.0001,0.0001,6,2048,70,0.0001,FP,0.5630694705654274
wine,8,2,0.0001,0.0001,6,64,30,0.0001,Po-MQ,1.0886788379062309
wine,8,2,0.0001,0.0001,6,64,30,0.0001,Po-QQ,0.6859532961791212
wine,11,2,0.0001,0.0001,10,1024,30,0.0001,Pr-MQ,0.7322493176568639
wine,14,2,0.0,0.0001,10,2048,30,0.001,Pr-QQ,0.6367668696425178
wine,3,2,0.0001,0.001,6,64,30,0.001,Bw-MQ,0.7071863698688421
wine,14,2,0.0,0.0001,10,2048,30,0.001,Bw-QQ,0.6512540381063114
wine,47,2,0.0001,0.0001,6,512,30,0.0001,SQ,0.6307488945397464
wine,35,2,0.0001,0.0001,6,2048,70,0.0001,Bw-SQ,0.6303536572239616
wine,8,3,0.0001,0.0001,6,512,30,0.001,FP,0.5712791906161742
wine,23,3,0.0001,0.0001,5,64,30,0.0001,Po-MQ,0.7674020675095645
wine,23,3,0.0001,0.0001,5,64,30,0.0001,Po-QQ,0.6242953492836519
wine,5,3,0.0,0.0001,5,128,30,0.001,Pr-MQ,0.6516000152988868
wine,44,3,0.0,0.0001,6,256,30,0.001,Pr-QQ,0.598468002947894
wine,11,3,0.0001,0.0001,6,128,30,0.001,Bw-MQ,0.6392685359174555
wine,15,3,0.0,0.0001,6,4096,50,0.001,Bw-QQ,0.5763913710008968
wine,15,3,0.0,0.0001,6,4096,50,0.001,SQ,0.5889698680151593
wine,49,3,0.0,0.0001,6,4096,30,0.0001,Bw-SQ,0.5829168032516133
wine,27,4,0.0001,0.0001,5,4096,50,0.001,FP,0.5722025391053069
wine,45,4,0.0001,0.0001,10,64,30,0.001,Po-MQ,0.6432108543135903
wine,25,4,0.0001,0.0001,5,64,70,0.0001,Po-QQ,0.6021876047958028
wine,2,4,0.0001,0.0001,5,256,30,0.001,Pr-MQ,0.6121498617258939
wine,27,4,0.0001,0.0001,5,4096,50,0.001,Pr-QQ,0.5736546051773158
wine,41,4,0.0001,0.0001,8,2048,30,0.0001,Bw-MQ,0.6047844726930964
wine,38,4,0.0,0.0001,5,1024,30,0.0001,Bw-QQ,0.5183761183511126
wine,27,4,0.0001,0.0001,5,4096,50,0.001,SQ,0.5679304684427652
wine,27,4,0.0001,0.0001,5,4096,50,0.001,Bw-SQ,0.5280965233390982
wine,7,5,0.0001,0.0001,5,1024,70,0.0001,FP,0.5624433798546141
wine,47,5,0.0001,0.0001,5,4096,70,0.0001,Po-MQ,0.5995912602679296
wine,47,5,0.0001,0.0001,5,4096,70,0.0001,Po-QQ,0.5773460975763473
wine,6,5,0.0001,0.0001,5,4096,50,0.0001,Pr-MQ,0.572628148441965
wine,37,5,0.0,0.0001,6,1024,50,0.001,Pr-QQ,0.5559483129869808
wine,14,5,0.0,0.0001,6,8192,50,0.001,Bw-MQ,0.5491519261490214
wine,14,5,0.0,0.0001,6,8192,50,0.001,Bw-QQ,0.5193433229218829
wine,47,5,0.0001,0.0001,5,4096,70,0.0001,SQ,0.5672004430808804
wine,6,5,0.0001,0.0001,5,4096,50,0.0001,Bw-SQ,0.5034793351184238
wine,18,6,0.0,0.0001,6,1024,50,0.0001,FP,0.5704665592448277
wine,18,6,0.0,0.0001,6,1024,50,0.0001,Po-MQ,0.584786331653595
wine,18,6,0.0,0.0001,6,1024,50,0.0001,Po-QQ,0.5784554626454007
wine,18,6,0.0,0.0001,6,1024,50,0.0001,Pr-MQ,0.5833925233645872
wine,18,6,0.0,0.0001,6,1024,50,0.0001,Pr-QQ,0.5620174189860171
wine,19,6,0.0,0.0001,6,4096,30,0.0001,Bw-MQ,0.5594782302325422
wine,19,6,0.0,0.0001,6,4096,30,0.0001,Bw-QQ,0.5332133572209965
wine,18,6,0.0,0.0001,6,1024,50,0.0001,SQ,0.5573546110906384
wine,19,6,0.0,0.0001,6,4096,30,0.0001,Bw-SQ,0.5459914447231726
wine,34,7,0.0,0.0001,10,8192,50,0.0001,FP,0.56910336159847
wine,31,7,0.0001,0.0001,10,1024,70,0.001,Po-MQ,0.5660136653618378
wine,34,7,0.0,0.0001,10,8192,50,0.0001,Po-QQ,0.5723190092227676
wine,30,7,0.0001,0.0001,5,4096,70,0.0001,Pr-MQ,0.5625701830277896
wine,22,7,0.0001,0.0001,6,4096,50,0.001,Pr-QQ,0.5531725707379255
wine,44,7,0.0,0.0001,6,4096,70,0.001,Bw-MQ,0.5509499390016902
wine,17,7,0.0,0.0001,6,512,50,0.0001,Bw-QQ,0.5632825534452092
wine,30,7,0.0001,0.0001,5,4096,70,0.0001,SQ,0.5669661204245957
wine,30,7,0.0001,0.0001,5,4096,70,0.0001,Bw-SQ,0.5633652730421586
wine,21,8,0.0,0.0001,5,2048,50,0.0001,FP,0.5450412701646036
wine,21,8,0.0,0.0001,5,2048,50,0.0001,Po-MQ,0.5474725093015216
wine,21,8,0.0,0.0001,5,2048,50,0.0001,Po-QQ,0.5458204090933908
wine,21,8,0.0,0.0001,5,2048,50,0.0001,Pr-MQ,0.559345100752332
wine,8,8,0.0001,0.0001,6,512,70,0.0001,Pr-QQ,0.5600200142372739
wine,26,8,0.0,0.0001,10,1024,70,0.001,Bw-MQ,0.5791178257627921
wine,21,8,0.0,0.0001,5,2048,50,0.0001,Bw-QQ,0.5613785620440137
wine,11,8,0.0,0.0001,8,512,50,0.001,SQ,0.5647418286312711
wine,39,8,0.0001,0.0001,5,8192,50,0.001,Bw-SQ,0.5717014666308057
